# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
1500
  1.095162808058E-006 -5.022084350869E+007  3.474432820391E+002 -3.417131258218E+004 -3.417131258218E+004
  4.380660827375E-006 -1.255518337697E+007  3.474432797396E+002 -8.585454865376E+003 -8.585454865376E+003
  9.856522843207E-006 -5.580061130575E+006  3.474432505304E+002 -3.847319992753E+003 -3.847319992753E+003
  1.752279683184E-005 -3.138768344335E+006  3.474431679713E+002 -2.188957350729E+003 -2.188957350729E+003
  2.737954996144E-005 -2.008798540424E+006  3.474429934389E+002 -1.421355430011E+003 -1.421355430011E+003
  3.942686859268E-005 -1.394987782778E+006  3.474426764278E+002 -1.004368540535E+003 -1.004368540535E+003
  5.366485828133E-005 -1.024879255465E+006  3.474421552909E+002 -7.529199174868E+002 -7.529199174868E+002
  7.009364377944E-005 -7.846645863221E+005  3.474413569634E+002 -5.897008576463E+002 -5.897008576463E+002
  8.871336903816E-005 -6.199742000142E+005  3.474401980983E+002 -4.777787494471E+002 -4.777787494471E+002
  1.095241972100E-004 -5.021721354831E+005  3.474385845576E+002 -3.977015308628E+002 -3.977015308628E+002
  1.325263106521E-004 -4.150119303054E+005  3.474364119853E+002 -3.384331854110E+002 -3.384331854110E+002
  1.577199109300E-004 -3.487194462367E+005  3.474335658909E+002 -2.933342737219E+002 -2.933342737219E+002
  1.851052188203E-004 -2.971283054606E+005  3.474299218377E+002 -2.582160683801E+002 -2.582160683801E+002
  2.146824743162E-004 -2.561923146041E+005  3.474253458963E+002 -2.303300606886E+002 -2.303300606886E+002
  2.464519366306E-004 -2.231672461249E+005  3.474196948875E+002 -2.078121541800E+002 -2.078121541800E+002
  2.804138842019E-004 -1.961386475443E+005  3.474128166017E+002 -1.893619108558E+002 -1.893619108558E+002
  3.165686146990E-004 -1.737380063791E+005  3.474045502759E+002 -1.740497452800E+002 -1.740497452800E+002
  3.549164450264E-004 -1.549660512234E+005  3.473947268485E+002 -1.611968950239E+002 -1.611968950239E+002
  3.954577113307E-004 -1.390793463476E+005  3.473831694504E+002 -1.502983856667E+002 -1.502983856667E+002
  4.381927690060E-004 -1.255155353767E+005  3.473696936844E+002 -1.409722496695E+002 -1.409722496695E+002
  4.831219927018E-004 -1.138428819860E+005  3.473541080764E+002 -1.329252499323E+002 -1.329252499323E+002
  5.302457763288E-004 -1.037254843986E+005  3.473362145227E+002 -1.259292503827E+002 -1.259292503827E+002
  5.795645330668E-004 -9.489883673344E+004  3.473158087134E+002 -1.198046150609E+002 -1.198046150609E+002
  6.310786953726E-004 -8.715236372783E+004  3.472926805634E+002 -1.144083441354E+002 -1.144083441354E+002
  6.847887149874E-004 -8.031674412306E+004  3.472666147073E+002 -1.096254628027E+002 -1.096254628027E+002
  7.406950629455E-004 -7.425457891035E+004  3.472373909425E+002 -1.053626823107E+002 -1.053626823107E+002
  7.987982295837E-004 -6.885343252283E+004  3.472047847128E+002 -1.015436728961E+002 -1.015436728961E+002
  8.590987245496E-004 -6.402058160293E+004  3.471685676343E+002 -9.810549665761E+001 -9.810549665761E+001
  9.215970768112E-004 -5.967900873808E+004  3.471285079265E+002 -9.499588612070E+001 -9.499588612070E+001
  9.862938346673E-004 -5.576431491996E+004  3.470843709675E+002 -9.217114688015E+001 -9.217114688015E+001
  1.053189565757E-003 -5.222231760381E+004  3.470359197849E+002 -8.959452596188E+001 -8.959452596188E+001
  1.122284857072E-003 -4.900716574176E+004  3.469829155473E+002 -8.723493135875E+001 -8.723493135875E+001
  1.193580314965E-003 -4.607984842782E+004  3.469251180921E+002 -8.506591894142E+001 -8.506591894142E+001
  1.267076565161E-003 -4.340700594759E+004  3.468622864277E+002 -8.306488478862E+001 -8.306488478862E+001
  1.342774252774E-003 -4.095997513089E+004  3.467941792547E+002 -8.121241667615E+001 -8.121241667615E+001
  1.420674042311E-003 -3.871401768595E+004  3.467205554485E+002 -7.949176986238E+001 -7.949176986238E+001
  1.500776617692E-003 -3.664769250242E+004  3.466411745999E+002 -7.788844066967E+001 -7.788844066967E+001
  1.583082682258E-003 -3.474234202446E+004  3.465557974824E+002 -7.638981755174E+001 -7.638981755174E+001
  1.667592958786E-003 -3.298166960363E+004  3.464641865792E+002 -7.498489396191E+001 -7.498489396191E+001
  1.754308189501E-003 -3.135138986933E+004  3.463661065415E+002 -7.366403082103E+001 -7.366403082103E+001
  1.843229136092E-003 -2.983893804794E+004  3.462613246994E+002 -7.241875902797E+001 -7.241875902797E+001
  1.934356579726E-003 -2.843322713943E+004  3.461496115140E+002 -7.124161447884E+001 -7.124161447884E+001
  2.027691321059E-003 -2.712444415418E+004  3.460307410508E+002 -7.012599961887E+001 -7.012599961887E+001
  2.123234180258E-003 -2.590387839052E+004  3.459044914381E+002 -6.906606675888E+001 -6.906606675888E+001
  2.220985997007E-003 -2.476377612201E+004  3.457706452954E+002 -6.805661933127E+001 -6.805661933127E+001
  2.320947630532E-003 -2.369721715237E+004  3.456289901791E+002 -6.709302800015E+001 -6.709302800015E+001
  2.423119959611E-003 -2.269800955659E+004  3.454793189873E+002 -6.617115912487E+001 -6.617115912487E+001
  2.527503882591E-003 -2.176059960929E+004  3.453214303636E+002 -6.528731353986E+001 -6.528731353986E+001
  2.634100317410E-003 -2.087999444686E+004  3.451551290948E+002 -6.443817398421E+001 -6.443817398421E+001
  2.742910201606E-003 -2.005169544661E+004  3.449802264687E+002 -6.362075981108E+001 -6.362075981108E+001
  2.853934492340E-003 -1.927164065875E+004  3.447965406443E+002 -6.283238784642E+001 -6.283238784642E+001
