# Reference      Predicted      Error          
0.03032         0.00538         0.02494        
0.08283         0.00102         0.08181        
0.00232         -0.02452        0.02684        
-0.02041        0.03745         0.05786        
0.00406         -0.01649        0.02055        
-0.00691        0.01436         0.02127        
-0.01902        -0.00187        0.01715        
0.00965         -0.00618        0.01583        
-0.00175        0.00083         0.00258        
0.00366         0.00137         0.00229        
-0.02238        0.04834         0.07072        
0.03442         -0.01166        0.04608        
0.01385         0.05870         0.04485        
-0.01433        0.00782         0.02216        
-0.03123        0.00978         0.04102        
0.01058         -0.01140        0.02198        
0.02181         -0.01247        0.03427        
0.00390         -0.01206        0.01597        
0.00892         -0.01101        0.01993        
0.00575         -0.01509        0.02084        
0.02680         -0.01575        0.04256        
-0.00611        -0.02305        0.01694        
-0.03169        -0.05467        0.02298        
-0.01095        -0.03750        0.02655        
0.04326         -0.03197        0.07523        
0.04563         -0.00384        0.04947        
0.06604         -0.00733        0.07337        
-0.02078        -0.00934        0.01144        
0.00700         0.01481         0.00781        
-0.04368        -0.02362        0.02006        
-0.04571        0.02350         0.06921        
-0.02152        0.01182         0.03334        
-0.01602        0.01569         0.03171        
-0.01726        0.01741         0.03467        
-0.00970        0.01699         0.02669        
0.03363         0.10953         0.07590        
0.01987         0.00084         0.01903        
0.01781         0.09194         0.07413        
-1.24915        -1.23093        0.01822        
-0.25379        -0.27608        0.02229        
0.12277         -0.08788        0.21066        
0.13345         -0.04100        0.17445        
0.07016         -0.04332        0.11348        
0.05668         -0.05097        0.10766        
-1.25753        -1.17584        0.08169        
-0.28073        -0.26023        0.02049        
0.06639         -0.08874        0.15513        
0.06806         -0.04468        0.11274        
0.02095         -0.04566        0.06661        
0.02000         -0.05109        0.07109        
-1.11330        -1.04590        0.06740        
-0.22233        -0.24483        0.02249        
0.09234         -0.08930        0.18163        
0.08021         -0.04690        0.12712        
0.02140         -0.04706        0.06846        
0.01514         -0.05171        0.06686        
-1.84294        -1.99031        0.14737        
-0.48167        -0.42426        0.05741        
0.06971         -0.10373        0.17344        
0.11502         -0.03608        0.15110        
0.03720         -0.03356        0.07076        
0.00779         -0.03868        0.04646        
-0.98063        -0.88389        0.09674        
-0.14938        -0.18059        0.03121        
0.11448         -0.04645        0.16093        
0.07673         -0.01249        0.08923        
0.02159         -0.01930        0.04089        
0.00294         -0.03102        0.03396        
-1.47114        -0.07253        1.39861        
0.01992         -0.07213        0.09205        
-0.02770        -0.06909        0.04140        
-0.01016        -0.06778        0.05762        
0.01894         -0.06229        0.08124        
-2.92725        -2.92725        0.00000        
-0.99654        -0.90543        0.09111        
-0.11133        -0.18255        0.07122        
0.06852         -0.07058        0.13909        
-0.03188        -0.05869        0.02681        
-0.09594        -0.07029        0.02565        
-0.34782        -0.05755        0.29028        
0.03374         -0.05566        0.08940        
0.00258         -0.04933        0.05191        
0.05617         -0.04691        0.10308        
0.13366         -0.04159        0.17525        
0.01688         -0.04970        0.06658        
-0.57684        0.00888         0.58572        
0.62277         -0.01070        0.63347        
0.01509         -0.04494        0.06003        
-0.17708        -0.08534        0.09175        
-0.36029        -0.12027        0.24002        
-0.47253        -0.15034        0.32220        
0.54290         0.03461         0.50829        
0.01092         -0.04248        0.05340        
-0.37559        -0.16518        0.21041        
-0.47353        -0.18617        0.28736        
-0.53057        -0.14975        0.38082        
-0.42386        -0.13721        0.28665        
0.53886         0.03469         0.50417        
0.11068         0.01737         0.09331        
-0.04332        -0.01810        0.02522        
-0.22393        -0.06491        0.15902        
-0.35374        -0.10397        0.24977        
-0.42772        -0.13016        0.29755        
# MSE = 1.70030E-02
# Maxerror = 1.39861E+00
