# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1000
# Principal QN=   4 , l=   0 , Occupation=   1.9990
  2.462477732966E-006  1.870700455137E+001 -7.500803413517E+002  2.658738495623E+004
  9.849959442330E-006  1.870146407200E+001 -7.498839570166E+002  2.657940299253E+004
  2.216259066178E-005  1.869223304177E+001 -7.495567764994E+002  2.656610578039E+004
  3.940061395432E-005  1.867931611073E+001 -7.490989897138E+002  2.654750240330E+004
  6.156436892224E-005  1.866271978281E+001 -7.485108622439E+002  2.652360556307E+004
  8.865429222131E-005  1.864245240975E+001 -7.477927350492E+002  2.649443156477E+004
  1.206709175794E-004  1.861852418327E+001 -7.469450240862E+002  2.646000029745E+004
  1.576148758184E-004  1.859094712551E+001 -7.459682198475E+002  2.642033521058E+004
  1.994868948811E-004  1.855973507781E+001 -7.448628868188E+002  2.637546328631E+004
  2.462877998613E-004  1.852490368775E+001 -7.436296628546E+002  2.632541500766E+004
  2.980185130383E-004  1.848647039461E+001 -7.422692584736E+002  2.627022432249E+004
  3.546800539158E-004  1.844445441307E+001 -7.407824560755E+002  2.620992860352E+004
  4.162735392647E-004  1.839887671541E+001 -7.391701090795E+002  2.614456860439E+004
  4.828001831694E-004  1.834976001206E+001 -7.374331409867E+002  2.607418841172E+004
  5.542612970792E-004  1.829712873060E+001 -7.355725443676E+002  2.599883539347E+004
  6.306582898628E-004  1.824100899318E+001 -7.335893797763E+002  2.591856014343E+004
  7.119926678676E-004  1.818142859258E+001 -7.314847745934E+002  2.583341642215E+004
  7.982660349828E-004  1.811841696665E+001 -7.292599217984E+002  2.574346109429E+004
  8.894800927067E-004  1.805200517143E+001 -7.269160786754E+002  2.564875406244E+004
  9.856366402179E-004  1.798222585287E+001 -7.244545654526E+002  2.554935819764E+004
  1.086737574451E-003  1.790911321717E+001 -7.218767638783E+002  2.544533926669E+004
  1.192784890174E-003  1.783270299988E+001 -7.191841157360E+002  2.533676585620E+004
  1.303780680078E-003  1.775303243372E+001 -7.163781212997E+002  2.522370929374E+004
  1.419727134858E-003  1.767014021520E+001 -7.134603377339E+002  2.510624356607E+004
  1.540626543307E-003  1.758406647008E+001 -7.104323774387E+002  2.498444523455E+004
  1.666481292416E-003  1.749485271773E+001 -7.072959063440E+002  2.485839334798E+004
  1.797293867468E-003  1.740254183447E+001 -7.040526421549E+002  2.472816935291E+004
  1.933066852148E-003  1.730717801584E+001 -7.007043525508E+002  2.459385700163E+004
  2.073802928647E-003  1.720880673800E+001 -6.972528533418E+002  2.445554225787E+004
  2.219504877777E-003  1.710747471819E+001 -6.937000065840E+002  2.431331320053E+004
  2.370175579090E-003  1.700322987440E+001 -6.900477186582E+002  2.416725992536E+004
  2.525818010992E-003  1.689612128418E+001 -6.862979383134E+002  2.401747444500E+004
  2.686435250879E-003  1.678619914284E+001 -6.824526546790E+002  2.386405058730E+004
  2.852030475254E-003  1.667351472093E+001 -6.785138952484E+002  2.370708389220E+004
  3.022606959872E-003  1.655812032110E+001 -6.744837238367E+002  2.354667150736E+004
  3.198168079872E-003  1.644006923446E+001 -6.703642385170E+002  2.338291208249E+004
  3.378717309917E-003  1.631941569644E+001 -6.661575695358E+002  2.321590566287E+004
  3.564258224347E-003  1.619621484223E+001 -6.618658772133E+002  2.304575358185E+004
  3.754794497325E-003  1.607052266182E+001 -6.574913498302E+002  2.287255835282E+004
  3.950329902993E-003  1.594239595482E+001 -6.530362015037E+002  2.269642356056E+004
  4.150868315631E-003  1.581189228495E+001 -6.485026700575E+002  2.251745375225E+004
  4.356413709820E-003  1.567906993441E+001 -6.438930148867E+002  2.233575432833E+004
  4.566970160612E-003  1.554398785806E+001 -6.392095148230E+002  2.215143143323E+004
  4.782541843700E-003  1.540670563760E+001 -6.344544660007E+002  2.196459184629E+004
  5.003133035593E-003  1.526728343568E+001 -6.296301797287E+002  2.177534287290E+004
  5.228748113801E-003  1.512578195013E+001 -6.247389803701E+002  2.158379223602E+004
  5.459391557015E-003  1.498226236821E+001 -6.197832032333E+002  2.139004796842E+004
  5.695067945303E-003  1.483678632110E+001 -6.147651924757E+002  2.119421830545E+004
  5.935781960296E-003  1.468941583853E+001 -6.096872990258E+002  2.099641157881E+004
  6.181538385392E-003  1.454021330375E+001 -6.045518785232E+002  2.079673611133E+004
  6.432342105956E-003  1.438924140879E+001 -5.993612892817E+002  2.059530011280E+004
  6.688198109528E-003  1.423656311006E+001 -5.941178902766E+002  2.039221157725E+004
  6.949111486034E-003  1.408224158443E+001 -5.888240391601E+002  2.018757818150E+004
  7.215087428003E-003  1.392634018574E+001 -5.834820903054E+002  1.998150718543E+004
  7.486131230784E-003  1.376892240185E+001 -5.780943928846E+002  1.977410533379E+004
  7.762248292776E-003  1.361005181224E+001 -5.726632889798E+002  1.956547875997E+004
  8.043444115654E-003  1.344979204622E+001 -5.671911117322E+002  1.935573289158E+004
  8.329724304602E-003  1.328820674179E+001 -5.616801835296E+002  1.914497235818E+004
  8.621094568555E-003  1.312535950520E+001 -5.561328142355E+002  1.893330090112E+004
  8.917560720438E-003  1.296131387120E+001 -5.505512994610E+002  1.872082128563E+004
  9.219128677417E-003  1.279613326411E+001 -5.449379188821E+002  1.850763521540E+004
  9.525804461149E-003  1.262988095966E+001 -5.392949346035E+002  1.829384324946E+004
  9.837594198038E-003  1.246262004763E+001 -5.336245895711E+002  1.807954472174E+004
  1.015450411950E-002  1.229441339542E+001 -5.279291060346E+002  1.786483766328E+004
