# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1000
  2.462477732966E-006  4.515809303479E+005 -3.545843145563E+007  2.877844376850E+009 -5.234620093318E-009  1.879873187377E-002
  9.849959442330E-006  4.513190603470E+005 -3.543717796474E+007  2.876076218281E+009 -5.235192406947E-009  1.880236704937E-002
  2.216259066178E-005  4.508829533767E+005 -3.540178402931E+007  2.873131726609E+009 -5.236131578503E-009  1.880842715948E-002
  3.940061395432E-005  4.502731232698E+005 -3.535229241233E+007  2.869014555400E+009 -5.237419826086E-009  1.881691443111E-002
  6.156436892224E-005  4.494902879662E+005 -3.528876286012E+007  2.863729808967E+009 -5.239027156492E-009  1.882783198371E-002
  8.865429222131E-005  4.485353680922E+005 -3.521127198071E+007  2.857284031734E+009 -5.240920842833E-009  1.884118383085E-002
  1.206709175794E-004  4.474094851396E+005 -3.511991308831E+007  2.849685194605E+009 -5.243055658626E-009  1.885697488241E-002
  1.576148758184E-004  4.461139592519E+005 -3.501479601396E+007  2.840942678390E+009 -5.245380370335E-009  1.887521094709E-002
  1.994868948811E-004  4.446503066215E+005 -3.489604688313E+007  2.831067254335E+009 -5.247834212180E-009  1.889589873561E-002
  2.462877998613E-004  4.430202365072E+005 -3.476380786079E+007  2.820071061810E+009 -5.250350087642E-009  1.891904586422E-002
  2.980185130383E-004  4.412256478787E+005 -3.461823686474E+007  2.807967583217E+009 -5.252847051449E-009  1.894466085874E-002
  3.546800539158E-004  4.392686256983E+005 -3.445950724797E+007  2.794771616195E+009 -5.255243103601E-009  1.897275315913E-002
  4.162735392647E-004  4.371514368501E+005 -3.428780745104E+007  2.780499243211E+009 -5.257439728429E-009  1.900333312446E-002
  4.828001831694E-004  4.348765257275E+005 -3.410334062526E+007  2.765167798602E+009 -5.259336606992E-009  1.903641203844E-002
  5.542612970792E-004  4.324465094912E+005 -3.390632422807E+007  2.748795833188E+009 -5.260814783156E-009  1.907200211532E-002
  6.306582898628E-004  4.298641730115E+005 -3.369698959139E+007  2.731403076541E+009 -5.261755317327E-009  1.911011650641E-002
  7.119926678676E-004  4.271324635080E+005 -3.347558146441E+007  2.713010397026E+009 -5.262018648403E-009  1.915076930698E-002
  7.982660349828E-004  4.242544849007E+005 -3.324235753202E+007  2.693639759725E+009 -5.261464778767E-009  1.919397556365E-002
  8.894800927067E-004  4.212334918895E+005 -3.299758791015E+007  2.673314182359E+009 -5.259935970112E-009  1.923975128237E-002
  9.856366402179E-004  4.180728837767E+005 -3.274155461953E+007  2.652057689348E+009 -5.257267501300E-009  1.928811343671E-002
  1.086737574451E-003  4.147761980498E+005 -3.247455103923E+007  2.629895264111E+009 -5.253278884597E-009  1.933907997682E-002
  1.192784890174E-003  4.113471037404E+005 -3.219688134152E+007  2.606852799772E+009 -5.247778582018E-009  1.939266983869E-002
  1.303780680078E-003  4.077893945797E+005 -3.190885990957E+007  2.582957048377E+009 -5.240569003055E-009  1.944890295409E-002
  1.419727134858E-003  4.041069819648E+005 -3.161081073956E+007  2.558235568785E+009 -5.231429224393E-009  1.950780026082E-002
  1.540626543307E-003  4.003038877576E+005 -3.130306682880E+007  2.532716673364E+009 -5.220128587628E-009  1.956938371353E-002
  1.666481292416E-003  3.963842369325E+005 -3.098596955155E+007  2.506429373643E+009 -5.206426291308E-009  1.963367629504E-002
  1.797293867468E-003  3.923522500942E+005 -3.065986802404E+007  2.479403325056E+009 -5.190060808571E-009  1.970070202810E-002
  1.933066852148E-003  3.882122358818E+005 -3.032511846053E+007  2.451668770942E+009 -5.170760084851E-009  1.977048598760E-002
  2.073802928647E-003  3.839685832819E+005 -2.998208352198E+007  2.423256485933E+009 -5.148230636043E-009  1.984305431336E-002
  2.219504877777E-003  3.796257538664E+005 -2.963113165898E+007  2.394197718888E+009 -5.122168157834E-009  1.991843422325E-002
  2.370175579090E-003  3.751882739774E+005 -2.927263645071E+007  2.364524135516E+009 -5.092240564886E-009  1.999665402693E-002
  2.525818010992E-003  3.706607268762E+005 -2.890697594151E+007  2.334267760847E+009 -5.058112461003E-009  2.007774313994E-002
  2.686435250879E-003  3.660477448769E+005 -2.853453197672E+007  2.303460921670E+009 -5.019414277075E-009  2.016173209827E-002
  2.852030475254E-003  3.613540014824E+005 -2.815568953947E+007  2.272136189117E+009 -4.975762641416E-009  2.024865257341E-002
  3.022606959872E-003  3.565842035420E+005 -2.777083608998E+007  2.240326321508E+009 -4.926754534006E-009  2.033853738785E-002
  3.198168079872E-003  3.517430834489E+005 -2.738036090893E+007  2.208064207607E+009 -4.871960188047E-009  2.043142053095E-002
  3.378717309917E-003  3.468353913957E+005 -2.698465444652E+007  2.175382810423E+009 -4.810927518808E-009  2.052733717526E-002
  3.564258224347E-003  3.418658877046E+005 -2.658410767869E+007  2.142315111695E+009 -4.743182717713E-009  2.062632369330E-002
  3.754794497325E-003  3.368393352506E+005 -2.617911147188E+007  2.108894057171E+009 -4.668222144719E-009  2.072841767465E-002
  3.950329902993E-003  3.317604919928E+005 -2.577005595793E+007  2.075152502835E+009 -4.585518107182E-009  2.083365794346E-002
  4.150868315631E-003  3.266341036318E+005 -2.535732992029E+007  2.041123162166E+009 -4.494508758754E-009  2.094208457631E-002
  4.356413709820E-003  3.214648964060E+005 -2.494132019297E+007  2.006838554579E+009 -4.394609650538E-009  2.105373892041E-002
  4.566970160612E-003  3.162575700445E+005 -2.452241107348E+007  1.972330955127E+009 -4.285201651068E-009  2.116866361210E-002
