# Reference      Predicted      Error          
6961.36025      6961.37080      0.01055        
6960.80114      6960.75069      0.05044        
6961.45826      6961.45263      0.00563        
6960.43901      6960.55517      0.11615        
6961.69252      6961.71240      0.01988        
6960.48960      6960.51535      0.02575        
6960.95684      6960.95189      0.00494        
6960.61423      6960.69247      0.07824        
7062.72929      7062.73352      0.00423        
7062.72117      7062.70023      0.02094        
7062.66849      7062.66654      0.00195        
7062.66351      7062.66260      0.00091        
7064.57933      7064.57239      0.00694        
7063.40290      7063.36973      0.03316        
7063.68369      7063.66925      0.01444        
6969.05595      6969.06091      0.00496        
6969.13114      6969.15909      0.02796        
6968.79976      6968.75118      0.04859        
6968.74178      6968.68302      0.05877        
6968.72090      6968.67534      0.04557        
6968.79325      6968.74503      0.04822        
6968.78933      6968.74489      0.04443        
6968.68733      6968.62699      0.06033        
6969.36590      6969.39258      0.02668        
6969.10382      6969.04387      0.05995        
6968.99246      6968.99867      0.00621        
6968.79162      6968.73160      0.06003        
6969.46520      6969.45788      0.00732        
6968.31629      6968.26941      0.04688        
6969.62374      6969.67534      0.05160        
6967.80554      6967.80334      0.00220        
6968.36879      6968.42991      0.06111        
6968.54376      6968.65327      0.10951        
7069.93501      7069.98682      0.05181        
7070.16303      7070.21045      0.04742        
7070.00422      7070.06524      0.06102        
7070.07276      7070.12330      0.05054        
7071.29935      7071.22644      0.07291        
7070.94879      7070.96178      0.01299        
7071.45837      7071.42922      0.02915        
# MSE = 1.32470E-03
# Maxerror = 1.67841E-01
