# Reference      Predicted      Error          
-0.00000        0.00000         0.00000        
-0.00464        -0.01240        0.00776        
0.00464         0.01240         0.00776        
-0.00464        -0.01240        0.00776        
0.00464         0.01240         0.00776        
0.00296         -0.00146        0.00442        
-0.00296        0.00146         0.00442        
0.00296         -0.00146        0.00442        
-0.00296        0.00146         0.00442        
0.00296         -0.00146        0.00442        
-0.00296        0.00146         0.00442        
-0.00296        0.00146         0.00442        
0.00296         -0.00146        0.00442        
-0.00645        -0.00587        0.00057        
0.00645         0.00587         0.00057        
-0.00645        -0.00587        0.00057        
0.00645         0.00587         0.00057        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
-0.00879        -0.01905        0.01025        
0.00879         0.01904         0.01025        
-0.00879        -0.01905        0.01025        
0.00879         0.01904         0.01025        
0.00727         0.00519         0.00208        
-0.00727        -0.00519        0.00208        
0.00727         0.00519         0.00208        
-0.00727        -0.00518        0.00209        
0.00727         0.00519         0.00208        
-0.00727        -0.00518        0.00209        
-0.00727        -0.00518        0.00209        
0.00727         0.00519         0.00208        
-0.00505        0.00616         0.01121        
0.00505         -0.00616        0.01120        
-0.00505        0.00616         0.01120        
0.00505         -0.00616        0.01120        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00740         -0.01916        0.02656        
-0.00740        0.01916         0.02655        
0.00740         -0.01916        0.02655        
-0.00740        0.01916         0.02656        
-0.00116        0.00284         0.00400        
0.00116         -0.00284        0.00400        
-0.00116        0.00284         0.00400        
0.00116         -0.00284        0.00400        
-0.00116        0.00284         0.00400        
0.00116         -0.00284        0.00400        
0.00116         -0.00284        0.00400        
-0.00116        0.00284         0.00400        
-0.00000        0.01049         0.01050        
0.00000         -0.01049        0.01050        
-0.00000        0.01049         0.01050        
0.00000         -0.01049        0.01050        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.01441         -0.02511        0.03951        
-0.01441        0.02511         0.03951        
0.01441         -0.02511        0.03951        
-0.01441        0.02511         0.03951        
0.00284         0.00614         0.00330        
-0.00284        -0.00614        0.00330        
0.00284         0.00614         0.00330        
-0.00284        -0.00614        0.00330        
0.00284         0.00614         0.00330        
-0.00284        -0.00614        0.00330        
-0.00284        -0.00614        0.00330        
0.00284         0.00614         0.00330        
-0.00329        0.00863         0.01192        
0.00329         -0.00863        0.01192        
-0.00329        0.00863         0.01192        
0.00329         -0.00863        0.01192        
-0.00000        0.00000         0.00000        
-0.00000        -0.00000        0.00000        
-0.00000        0.00000         0.00000        
-0.00000        0.00000         0.00000        
0.01286         -0.02990        0.04276        
-0.01286        0.02990         0.04276        
0.01286         -0.02990        0.04276        
-0.01286        0.02990         0.04276        
-0.00678        0.00878         0.01555        
0.00678         -0.00878        0.01555        
-0.00678        0.00878         0.01555        
0.00678         -0.00878        0.01555        
-0.00678        0.00878         0.01555        
0.00678         -0.00878        0.01555        
0.00678         -0.00878        0.01555        
-0.00678        0.00878         0.01555        
-0.00352        0.00414         0.00766        
0.00352         -0.00414        0.00767        
-0.00352        0.00414         0.00766        
0.00352         -0.00414        0.00766        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00048         -0.04505        0.04554        
-0.00048        0.04505         0.04554        
0.00048         -0.04505        0.04554        
-0.00048        0.04505         0.04554        
-0.00575        0.01120         0.01695        
0.00575         -0.01120        0.01695        
-0.00575        0.01120         0.01695        
0.00575         -0.01119        0.01694        
-0.00575        0.01120         0.01695        
0.00575         -0.01120        0.01695        
0.00575         -0.01119        0.01694        
-0.00575        0.01120         0.01695        
0.00157         -0.00106        0.00263        
-0.00157        0.00106         0.00263        
0.00157         -0.00106        0.00263        
-0.00157        0.00106         0.00263        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00614         -0.04934        0.05548        
-0.00614        0.04934         0.05548        
0.00614         -0.04934        0.05548        
-0.00614        0.04934         0.05548        
0.00055         0.01166         0.01111        
-0.00055        -0.01165        0.01111        
0.00055         0.01165         0.01111        
-0.00055        -0.01166        0.01111        
0.00055         0.01165         0.01111        
-0.00055        -0.01166        0.01111        
-0.00055        -0.01166        0.01111        
0.00055         0.01165         0.01111        
-0.00576        0.00394         0.00970        
0.00576         -0.00393        0.00969        
-0.00576        0.00393         0.00969        
0.00576         -0.00393        0.00969        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00001        0.00001        
-0.00000        -0.00001        0.00001        
-0.00000        -0.00000        0.00000        
-0.00072        -0.00071        0.00002        
0.00072         0.00071         0.00002        
-0.00072        -0.00071        0.00002        
0.00072         0.00071         0.00002        
0.00917         -0.00291        0.01208        
-0.00917        0.00292         0.01208        
0.00917         -0.00291        0.01208        
-0.00917        0.00291         0.01208        
0.00917         -0.00291        0.01208        
-0.00917        0.00292         0.01208        
-0.00917        0.00292         0.01208        
0.00917         -0.00291        0.01208        
-0.00049        0.01148         0.01197        
0.00049         -0.01147        0.01197        
-0.00049        0.01147         0.01197        
0.00049         -0.01147        0.01197        
-0.00000        0.00000         0.00000        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
-0.00483        0.00031         0.00515        
0.00483         -0.00031        0.00514        
-0.00483        0.00031         0.00515        
0.00483         -0.00031        0.00515        
-0.00751        -0.00621        0.00129        
0.00751         0.00621         0.00129        
-0.00751        -0.00622        0.00129        
0.00751         0.00622         0.00128        
-0.00751        -0.00621        0.00129        
0.00751         0.00621         0.00129        
0.00751         0.00622         0.00128        
-0.00751        -0.00622        0.00129        
-0.00362        0.02034         0.02395        
0.00362         -0.02034        0.02395        
-0.00362        0.02034         0.02395        
0.00362         -0.02034        0.02396        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
-0.00950        0.00186         0.01136        
0.00950         -0.00186        0.01136        
-0.00950        0.00186         0.01136        
0.00950         -0.00186        0.01136        
0.00049         -0.01497        0.01546        
-0.00049        0.01497         0.01546        
0.00049         -0.01497        0.01545        
-0.00049        0.01497         0.01546        
0.00049         -0.01497        0.01546        
-0.00049        0.01497         0.01546        
-0.00049        0.01497         0.01546        
0.00049         -0.01497        0.01545        
-0.00689        0.01543         0.02232        
0.00689         -0.01543        0.02232        
-0.00689        0.01543         0.02232        
0.00689         -0.01543        0.02232        
0.00000         0.00000         0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         0.00000         0.00000        
-0.00082        0.00870         0.00952        
0.00082         -0.00869        0.00952        
