# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1000
  2.462477732966E-006  4.515808390515E+005 -3.545842364555E+007  2.877843759432E+009 -5.220312364181E-009  1.879873314062E-002
  9.849959442330E-006  4.513189691083E+005 -3.543717015922E+007  2.876075601228E+009 -5.220894882977E-009  1.880236831640E-002
  2.216259066178E-005  4.508828622340E+005 -3.540177623138E+007  2.873131110163E+009 -5.221852821644E-009  1.880842842681E-002
  3.940061395432E-005  4.502730322614E+005 -3.535228462503E+007  2.869013939802E+009 -5.223163807417E-009  1.881691569886E-002
  6.156436892224E-005  4.494901971304E+005 -3.528875508644E+007  2.863729194459E+009 -5.224803545463E-009  1.882783325199E-002
  8.865429222131E-005  4.485352774667E+005 -3.521126422366E+007  2.857283418555E+009 -5.226735857376E-009  1.884118509979E-002
  1.206709175794E-004  4.474093947622E+005 -3.511990535087E+007  2.849684582992E+009 -5.228915831640E-009  1.885697615212E-002
  1.576148758184E-004  4.461138691599E+005 -3.501478829909E+007  2.840942068580E+009 -5.231291138250E-009  1.887521221770E-002
  1.994868948811E-004  4.446502168520E+005 -3.489603919375E+007  2.831066646562E+009 -5.233804895532E-009  1.889590000723E-002
  2.462877998613E-004  4.430201470969E+005 -3.476380019980E+007  2.820070456306E+009 -5.236385951293E-009  1.891904713696E-002
  2.980185130383E-004  4.412255588639E+005 -3.461822923500E+007  2.807966980208E+009 -5.238957245985E-009  1.894466213273E-002
  3.546800539158E-004  4.392685371149E+005 -3.445949965233E+007  2.794771015909E+009 -5.241432734205E-009  1.897275443448E-002
  4.162735392647E-004  4.371513487334E+005 -3.428779989227E+007  2.780498645870E+009 -5.243715460081E-009  1.900333440130E-002
  4.828001831694E-004  4.348764381122E+005 -3.410333310613E+007  2.765167204425E+009 -5.245703834500E-009  1.903641331687E-002
  5.542612970792E-004  4.324464224117E+005 -3.390631675128E+007  2.748795242390E+009 -5.247280649089E-009  1.907200339547E-002
  6.306582898628E-004  4.298640865016E+005 -3.369698215960E+007  2.731402489334E+009 -5.248326602091E-009  1.911011778838E-002
  7.119926678676E-004  4.271323776006E+005 -3.347557408023E+007  2.713009813617E+009 -5.248706207603E-009  1.915077059088E-002
  7.982660349828E-004  4.242543996282E+005 -3.324235019800E+007  2.693639180316E+009 -5.248268783774E-009  1.919397684961E-002
  8.894800927067E-004  4.212334072835E+005 -3.299758062879E+007  2.673313607149E+009 -5.246864901907E-009  1.923975257049E-002
  9.856366402179E-004  4.180727998683E+005 -3.274154739326E+007  2.652057118529E+009 -5.244326150856E-009  1.928811472711E-002
  1.086737574451E-003  4.147761148690E+005 -3.247454387044E+007  2.629894697872E+009 -5.240475620312E-009  1.933908126960E-002
  1.192784890174E-003  4.113470213167E+005 -3.219687423252E+007  2.606852238297E+009 -5.235120666851E-009  1.939267113396E-002
  1.303780680078E-003  4.077893129416E+005 -3.190885286262E+007  2.582956491842E+009 -5.228058931096E-009  1.944890425196E-002
  1.419727134858E-003  4.041069011401E+005 -3.161080375684E+007  2.558235017363E+009 -5.219073993545E-009  1.950780156139E-002
  1.540626543307E-003  4.003038077730E+005 -3.130305991243E+007  2.532716127222E+009 -5.207936601267E-009  1.956938501691E-002
  1.666481292416E-003  3.963841578141E+005 -3.098596270357E+007  2.506428832941E+009 -5.194401769769E-009  1.963367760134E-002
  1.797293867468E-003  3.923521718669E+005 -3.065986124642E+007  2.479402789949E+009 -5.178211119983E-009  1.970070333741E-002
  1.933066852148E-003  3.882121585699E+005 -3.032511175518E+007  2.451668241578E+009 -5.159087260593E-009  1.977048730003E-002
  2.073802928647E-003  3.839685069084E+005 -2.998207689071E+007  2.423255962455E+009 -5.136743041840E-009  1.984305562899E-002
  2.219504877777E-003  3.796256784536E+005 -2.963112510354E+007  2.394197201431E+009 -5.110869511190E-009  1.991843554219E-002
  2.370175579090E-003  3.751881995464E+005 -2.927262997278E+007  2.364523624212E+009 -5.081138486907E-009  1.999665534927E-002
  2.525818010992E-003  3.706606534473E+005 -2.890696954267E+007  2.334267255817E+009 -5.047209949590E-009  2.007774446576E-002
  2.686435250879E-003  3.660476724693E+005 -2.853452565848E+007  2.303460423032E+009 -5.008716711777E-009  2.016173342766E-002
  2.852030475254E-003  3.613539301143E+005 -2.815568330327E+007  2.272135696981E+009 -4.965278385563E-009  2.024865390646E-002
  3.022606959872E-003  3.565841332304E+005 -2.777082993716E+007  2.240325835977E+009 -4.916484399731E-009  2.033853872464E-002
  3.198168079872E-003  3.517430142101E+005 -2.738035484075E+007  2.208063728778E+009 -4.861910259190E-009  2.043142187155E-002
  3.378717309917E-003  3.468353232448E+005 -2.698464846418E+007  2.175382338387E+009 -4.801103313478E-009  2.052733851976E-002
  3.564258224347E-003  3.418658206556E+005 -2.658410178329E+007  2.142314646535E+009 -4.733589405774E-009  2.062632504176E-002
  3.754794497325E-003  3.368392693164E+005 -2.617910566445E+007  2.108893598965E+009 -4.658864001821E-009  2.072841902714E-002
  3.950329902993E-003  3.317604271855E+005 -2.577005023941E+007  2.075152051652E+009 -4.576397574544E-009  2.083365930004E-002
  4.150868315631E-003  3.266340399622E+005 -2.535732429154E+007  2.041122718070E+009 -4.485633624333E-009  2.094208593703E-002
  4.356413709820E-003  3.214648338841E+005 -2.494131465476E+007  2.006838117627E+009 -4.385982878414E-009  2.105374028533E-002
  4.566970160612E-003  3.162575086791E+005 -2.452240562651E+007  1.972330525370E+009 -4.276828692600E-009  2.116866498126E-002
