# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1000
# Principal QN=   4 , l=   0 , Occupation=   2.0010
  2.462477732966E-006  1.870577798347E+001 -7.500316426796E+002  2.658571778091E+004
  9.849959442330E-006  1.870023786381E+001 -7.498352706591E+002  2.657773628411E+004
  2.216259066178E-005  1.869100743292E+001 -7.495081106586E+002  2.656443984980E+004
  3.940061395432E-005  1.867809134053E+001 -7.490503525810E+002  2.654583756099E+004
  6.156436892224E-005  1.866149609018E+001 -7.484622619948E+002  2.652194211881E+004
  8.865429222131E-005  1.864123003309E+001 -7.477441798395E+002  2.649276982746E+004
  1.206709175794E-004  1.861730336034E+001 -7.468965220474E+002  2.645834057493E+004
  1.576148758184E-004  1.858972809330E+001 -7.459197790825E+002  2.641867780941E+004
  1.994868948811E-004  1.855851807246E+001 -7.448145153976E+002  2.637380851163E+004
  2.462877998613E-004  1.852368894442E+001 -7.435813688098E+002  2.632376316296E+004
  2.980185130383E-004  1.848525814735E+001 -7.422210497963E+002  2.626857570943E+004
  3.546800539158E-004  1.844324489474E+001 -7.407343407111E+002  2.620828352178E+004
  4.162735392647E-004  1.839767015756E+001 -7.391220949234E+002  2.614292735144E+004
  4.828001831694E-004  1.834855664481E+001 -7.373852358803E+002  2.607255128268E+004
  5.542612970792E-004  1.829592878251E+001 -7.355247560944E+002  2.599720268089E+004
  6.306582898628E-004  1.823981269122E+001 -7.335417160577E+002  2.591693213717E+004
  7.119926678676E-004  1.818023616194E+001 -7.314372430844E+002  2.583179340916E+004
  7.982660349828E-004  1.811722863068E+001 -7.292125300844E+002  2.574184335847E+004
  8.894800927067E-004  1.805082115153E+001 -7.268688342680E+002  2.564714188445E+004
  9.856366402179E-004  1.798104636838E+001 -7.244074757859E+002  2.554775185478E+004
  1.086737574451E-003  1.790793848529E+001 -7.218298363054E+002  2.544373903269E+004
  1.192784890174E-003  1.783153323556E+001 -7.191373575251E+002  2.533517200110E+004
  1.303780680078E-003  1.775186784956E+001 -7.163315396309E+002  2.522212208373E+004
  1.419727134858E-003  1.766898102137E+001 -7.134139396957E+002  2.510466326335E+004
  1.540626543307E-003  1.758291287421E+001 -7.103861700246E+002  2.498287209716E+004
  1.666481292416E-003  1.749370492484E+001 -7.072498964495E+002  2.485682762971E+004
  1.797293867468E-003  1.740140004688E+001 -7.040068365740E+002  2.472661130313E+004
  1.933066852148E-003  1.730604243307E+001 -7.006587579733E+002  2.459230686517E+004
  2.073802928647E-003  1.720767755671E+001 -6.972074763500E+002  2.445400027490E+004
  2.219504877777E-003  1.710635213208E+001 -6.936548536503E+002  2.431177960643E+004
  2.370175579090E-003  1.700211407414E+001 -6.900027961422E+002  2.416573495062E+004
  2.525818010992E-003  1.689501245733E+001 -6.862532524591E+002  2.401595831510E+004
  2.686435250879E-003  1.678509747380E+001 -6.824082116125E+002  2.386254352262E+004
  2.852030475254E-003  1.667242039082E+001 -6.784697009752E+002  2.370558610790E+004
  3.022606959872E-003  1.655703350775E+001 -6.744397842400E+002  2.354518321330E+004
  3.198168079872E-003  1.643899011232E+001 -6.703205593547E+002  2.338143348314E+004
  3.378717309917E-003  1.631834443649E+001 -6.661141564391E+002  2.321443695722E+004
  3.564258224347E-003  1.619515161196E+001 -6.618227356846E+002  2.304429496335E+004
  3.754794497325E-003  1.606946762516E+001 -6.574484852410E+002  2.287111000928E+004
  3.950329902993E-003  1.594134927208E+001 -6.529936190932E+002  2.269498567410E+004
  4.150868315631E-003  1.581085411279E+001 -6.484603749307E+002  2.251602649924E+004
  4.356413709820E-003  1.567804042574E+001 -6.438510120132E+002  2.233433787934E+004
  4.566970160612E-003  1.554296716205E+001 -6.391678090354E+002  2.215002595297E+004
  4.782541843700E-003  1.540569389960E+001 -6.344130619936E+002  2.196319749356E+004
  5.003133035593E-003  1.526628079721E+001 -6.295890820574E+002  2.177395980055E+004
  5.228748113801E-003  1.512478854881E+001 -6.246981934497E+002  2.158242059095E+004
  5.459391557015E-003  1.498127833775E+001 -6.197427313375E+002  2.138868789151E+004
  5.695067945303E-003  1.483581179124E+001 -6.147250397366E+002  2.119286993155E+004
  5.935781960296E-003  1.468845093504E+001 -6.096474694327E+002  2.099507503675E+004
  6.181538385392E-003  1.453925814841E+001 -6.045123759224E+002  2.079541152386E+004
  6.432342105956E-003  1.438829611931E+001 -5.993221173758E+002  2.059398759664E+004
  6.688198109528E-003  1.423562780012E+001 -5.940790526247E+002  2.039091124304E+004
  6.949111486034E-003  1.408131636363E+001 -5.887855391769E+002  2.018629013384E+004
  7.215087428003E-003  1.392542515960E+001 -5.834439312617E+002  1.998023152285E+004
  7.486131230784E-003  1.376801767178E+001 -5.780565779071E+002  1.977284214883E+004
  7.762248292776E-003  1.360915747554E+001 -5.726258210512E+002  1.956422813913E+004
  8.043444115654E-003  1.344890819606E+001 -5.671539936916E+002  1.935449491540E+004
  8.329724304602E-003  1.328733346724E+001 -5.616434180728E+002  1.914374710123E+004
  8.621094568555E-003  1.312449689118E+001 -5.560964039153E+002  1.893208843206E+004
  8.917560720438E-003  1.296046199851E+001 -5.505152466879E+002  1.871962166725E+004
  9.219128677417E-003  1.279529220944E+001 -5.449022259251E+002  1.850644850465E+004
  9.525804461149E-003  1.262905079554E+001 -5.392596035906E+002  1.829266949749E+004
  9.837594198038E-003  1.246180084252E+001 -5.335896224903E+002  1.807838397401E+004
  1.015450411950E-002  1.229360521366E+001 -5.278945047348E+002  1.786368995955E+004
