# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1000
# Principal QN=   3 , l=   1 , Occupation=   5.0000
  2.462477732966E-006  3.587969037820E-004  1.456979769290E+002 -6.226864643718E+003
  9.849959442330E-006  1.434968145387E-003  1.456519830506E+002 -6.224977716737E+003
  2.216259066178E-005  3.227855522432E-003  1.455753565492E+002 -6.221834332875E+003
  3.940061395432E-005  5.736362719970E-003  1.454681423325E+002 -6.217436731752E+003
  6.156436892224E-005  8.958956342814E-003  1.453304031977E+002 -6.211788044761E+003
  8.865429222131E-005  1.289366735853E-002  1.451622197597E+002 -6.204892291004E+003
  1.206709175794E-004  1.753809294881E-002  1.449636903566E+002 -6.196754372074E+003
  1.576148758184E-004  2.288939876608E-002  1.447349309367E+002 -6.187380065701E+003
  1.994868948811E-004  2.894432159204E-002  1.444760749238E+002 -6.176776018270E+003
  2.462877998613E-004  3.569917239363E-002  1.441872730636E+002 -6.164949736221E+003
  2.980185130383E-004  4.314983977173E-002  1.438686932494E+002 -6.151909576350E+003
  3.546800539158E-004  5.129179379708E-002  1.435205203294E+002 -6.137664735028E+003
  4.162735392647E-004  6.012009022737E-002  1.431429558943E+002 -6.122225236358E+003
  4.828001831694E-004  6.962937509867E-002  1.427362180461E+002 -6.105601919284E+003
  5.542612970792E-004  7.981388968433E-002  1.423005411493E+002 -6.087806423689E+003
  6.306582898628E-004  9.066747581310E-002  1.418361755635E+002 -6.068851175492E+003
  7.119926678676E-004  1.021835815385E-001  1.413433873592E+002 -6.048749370775E+003
  7.982660349828E-004  1.143552671504E-001  1.408224580166E+002 -6.027514958978E+003
  8.894800927067E-004  1.271752115197E-001  1.402736841075E+002 -6.005162625174E+003
  9.856366402179E-004  1.406357187653E-001  1.396973769624E+002 -5.981707771467E+003
  1.086737574451E-003  1.547287252352E-001  1.390938623217E+002 -5.957166497548E+003
  1.192784890174E-003  1.694458067883E-001  1.384634799721E+002 -5.931555580431E+003
  1.303780680078E-003  1.847781863678E-001  1.378065833701E+002 -5.904892453412E+003
  1.419727134858E-003  2.007167418536E-001  1.371235392509E+002 -5.877195184296E+003
  1.540626543307E-003  2.172520141826E-001  1.364147272252E+002 -5.848482452905E+003
  1.666481292416E-003  2.343742157234E-001  1.356805393643E+002 -5.818773527937E+003
  1.797293867468E-003  2.520732388946E-001  1.349213797738E+002 -5.788088243192E+003
  1.933066852148E-003  2.703386650123E-001  1.341376641561E+002 -5.756446973218E+003
  2.073802928647E-003  2.891597733542E-001  1.333298193641E+002 -5.723870608408E+003
  2.219504877777E-003  3.085255504274E-001  1.324982829453E+002 -5.690380529613E+003
  2.370175579090E-003  3.284246994263E-001  1.316435026776E+002 -5.655998582282E+003
  2.525818010992E-003  3.488456498663E-001  1.307659360978E+002 -5.620747050199E+003
  2.686435250879E-003  3.697765673795E-001  1.298660500231E+002 -5.584648628852E+003
  2.852030475254E-003  3.912053636597E-001  1.289443200671E+002 -5.547726398471E+003
  3.022606959872E-003  4.131197065413E-001  1.280012301502E+002 -5.510003796800E+003
  3.198168079872E-003  4.355070301978E-001  1.270372720055E+002 -5.471504591624E+003
  3.378717309917E-003  4.583545454480E-001  1.260529446818E+002 -5.432252853111E+003
  3.564258224347E-003  4.816492501525E-001  1.250487540433E+002 -5.392272926017E+003
  3.754794497325E-003  5.053779396896E-001  1.240252122675E+002 -5.351589401787E+003
  3.950329902993E-003  5.295272174941E-001  1.229828373417E+002 -5.310227090606E+003
  4.150868315631E-003  5.540835056465E-001  1.219221525593E+002 -5.268210993446E+003
  4.356413709820E-003  5.790330554986E-001  1.208436860163E+002 -5.225566274142E+003
  4.566970160612E-003  6.043619583210E-001  1.197479701094E+002 -5.182318231559E+003
  4.782541843700E-003  6.300561559599E-001  1.186355410351E+002 -5.138492271882E+003
  5.003133035593E-003  6.561014514899E-001  1.175069382922E+002 -5.094113881067E+003
  5.228748113801E-003  6.824835198482E-001  1.163627041875E+002 -5.049208597512E+003
  5.459391557015E-003  7.091879184398E-001  1.152033833453E+002 -5.003801984980E+003
  5.695067945303E-003  7.362000976990E-001  1.140295222222E+002 -4.957919605805E+003
  5.935781960296E-003  7.635054115955E-001  1.128416686266E+002 -4.911586994447E+003
  6.181538385392E-003  7.910891280740E-001  1.116403712452E+002 -4.864829631409E+003
  6.432342105956E-003  8.189364394143E-001  1.104261791760E+002 -4.817672917565E+003
  6.688198109528E-003  8.470324725012E-001  1.091996414683E+002 -4.770142148943E+003
  6.949111486034E-003  8.753622989938E-001  1.079613066713E+002 -4.722262491982E+003
  7.215087428003E-003  9.039109453820E-001  1.067117223911E+002 -4.674058959310E+003
  7.486131230784E-003  9.326634029224E-001  1.054514348566E+002 -4.625556386078E+003
  7.762248292776E-003  9.616046374417E-001  1.041809884959E+002 -4.576779406867E+003
  8.043444115654E-003  9.907195989991E-001  1.029009255220E+002 -4.527752433215E+003
  8.329724304602E-003  1.019993231400E+000  1.016117855294E+002 -4.478499631787E+003
  8.621094568555E-003  1.049410481549E+000  1.003141051027E+002 -4.429044903202E+003
  8.917560720438E-003  1.078956308641E+000  9.900841743556E+001 -4.379411861575E+003
  9.219128677417E-003  1.108615693174E+000  9.769525196240E+001 -4.329623814760E+003
  9.525804461149E-003  1.138373645784E+000  9.637513400230E+001 -4.279703745344E+003
  9.837594198038E-003  1.168215215894E+000  9.504858441544E+001 -4.229674292407E+003
  1.015450411950E-002  1.198125500164E+000  9.371611927272E+001 -4.179557734056E+003
