# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1500
# Principal QN=   5 , l=   1 , Occupation=   2.0000
  1.095162808058E-006  5.959902649848E-004  5.441576032949E+002 -8.186475909004E+004
  4.380660827375E-006  2.383377218336E-003  5.438887006941E+002 -8.182586221387E+004
  9.856522843207E-006  5.360410242251E-003  5.434408109667E+002 -8.176107643649E+004
  1.752279683184E-005  9.524174662493E-003  5.428143555451E+002 -8.167046521224E+004
  2.737954996144E-005  1.487059627418E-002  5.420099234800E+002 -8.155411723737E+004
  3.942686859268E-005  2.139444766333E-002  5.410282704869E+002 -8.141214631053E+004
  5.366485828133E-005  2.908935631117E-002  5.398703177254E+002 -8.124469115388E+004
  7.009364377944E-005  3.794781446120E-002  5.385371503118E+002 -8.105191519528E+004
  8.871336903816E-005  4.796119072856E-002  5.370300155688E+002 -8.083400631182E+004
  1.095241972100E-004  5.911974342437E-002  5.353503210169E+002 -8.059117653543E+004
  1.325263106521E-004  7.141263556652E-002  5.334996321109E+002 -8.032366172100E+004
  1.577199109300E-004  8.482795154221E-002  5.314796697267E+002 -8.003172117779E+004
  1.851052188203E-004  9.935271538575E-002  5.292923074040E+002 -7.971563726486E+004
  2.146824743162E-004  1.149729106310E-001  5.269395683508E+002 -7.937571495131E+004
  2.464519366306E-004  1.316735016940E-001  5.244236222160E+002 -7.901228134227E+004
  2.804138842019E-004  1.494384567384E-001  5.217467816374E+002 -7.862568517163E+004
  3.165686146990E-004  1.682507719739E-001  5.189114985723E+002 -7.821629626243E+004
  3.549164450264E-004  1.880924973324E-001  5.159203604187E+002 -7.778450495611E+004
  3.954577113307E-004  2.089447634684E-001  5.127760859347E+002 -7.733072151180E+004
  4.381927690060E-004  2.307878100203E-001  5.094815209667E+002 -7.685537547668E+004
  4.831219927018E-004  2.536010150755E-001  5.060396339927E+002 -7.635891502893E+004
  5.302457763288E-004  2.773629257710E-001  5.024535114935E+002 -7.584180629435E+004
  5.795645330668E-004  3.020512899663E-001  4.987263531582E+002 -7.530453263823E+004
  6.310786953726E-004  3.276430889184E-001  4.948614669366E+002 -7.474759393374E+004
  6.847887149874E-004  3.541145708888E-001  4.908622639484E+002 -7.417150580831E+004
  7.406950629455E-004  3.814412856122E-001  4.867322532587E+002 -7.357679886956E+004
  7.987982295837E-004  4.095981195506E-001  4.824750365323E+002 -7.296401791233E+004
  8.590987245496E-004  4.385593318617E-001  4.780943025766E+002 -7.233372110816E+004
  9.215970768112E-004  4.682985910022E-001  4.735938217856E+002 -7.168647917916E+004
  9.862938346673E-004  4.987890118924E-001  4.689774404957E+002 -7.102287455754E+004
  1.053189565757E-003  5.300031935629E-001  4.642490752640E+002 -7.034350053265E+004
  1.122284857072E-003  5.619132572068E-001  4.594127070839E+002 -6.964896038710E+004
  1.193580314965E-003  5.944908845580E-001  4.544723755452E+002 -6.893986652361E+004
  1.267076565161E-003  6.277073565194E-001  4.494321729545E+002 -6.821683958431E+004
  1.342774252774E-003  6.615335919605E-001  4.442962384258E+002 -6.748050756415E+004
  1.420674042311E-003  6.959401866097E-001  4.390687519523E+002 -6.673150492004E+004
  1.500776617692E-003  7.308974519614E-001  4.337539284738E+002 -6.597047167747E+004
  1.583082682258E-003  7.663754541229E-001  4.283560119478E+002 -6.519805253624E+004
  1.667592958786E-003  8.023440525264E-001  4.228792694391E+002 -6.441489597697E+004
  1.754308189501E-003  8.387729384290E-001  4.173279852372E+002 -6.362165337000E+004
  1.843229136092E-003  8.756316731308E-001  4.117064550133E+002 -6.281897808836E+004
  1.934356579726E-003  9.128897258372E-001  4.060189800281E+002 -6.200752462634E+004
  2.027691321059E-003  9.505165110966E-001  4.002698614014E+002 -6.118794772536E+004
  2.123234180258E-003  9.884814257443E-001  3.944633944537E+002 -6.036090150849E+004
  2.220985997007E-003  1.026753885287E+000  3.886038631298E+002 -5.952703862540E+004
  2.320947630532E-003  1.065303359665E+000  3.826955345159E+002 -5.868700940896E+004
  2.423119959611E-003  1.104099408327E+000  3.767426534581E+002 -5.784146104515E+004
  2.527503882591E-003  1.143111714559E+000  3.707494372931E+002 -5.699103675754E+004
  2.634100317410E-003  1.182310119018E+000  3.647200706993E+002 -5.613637500780E+004
  2.742910201606E-003  1.221664652400E+000  3.586587006780E+002 -5.527810871347E+004
  2.853934492340E-003  1.261145567207E+000  3.525694316720E+002 -5.441686448433E+004
  2.967174166416E-003  1.300723368556E+000  3.464563208296E+002 -5.355326187857E+004
  3.082630220291E-003  1.340368843985E+000  3.403233734229E+002 -5.268791267985E+004
  3.200303670101E-003  1.380053092216E+000  3.341745384255E+002 -5.182142019645E+004
  3.320195551679E-003  1.419747550833E+000  3.280137042577E+002 -5.095437858352E+004
  3.442306920571E-003  1.459424022839E+000  3.218446947046E+002 -5.008737218940E+004
  3.566638852059E-003  1.499054702064E+000  3.156712650135E+002 -4.922097492696E+004
  3.693192441180E-003  1.538612197380E+000  3.094970981750E+002 -4.835574967079E+004
  3.821968802746E-003  1.578069555720E+000  3.033258013935E+002 -4.749224768112E+004
  3.952969071365E-003  1.617400283851E+000  2.971609027504E+002 -4.663100805508E+004
  4.086194401465E-003  1.656578368906E+000  2.910058480647E+002 -4.577255720607E+004
  4.221645967311E-003  1.695578297638E+000  2.848639979537E+002 -4.491740837182E+004
  4.359324963032E-003  1.734375074402E+000  2.787386250967E+002 -4.406606115160E+004
  4.499232602637E-003  1.772944237835E+000  2.726329117043E+002 -4.321900107318E+004
