# Reference      Predicted      Error          
436.92537       436.91861       0.00676        
437.55604       437.55501       0.00103        
438.15712       438.15239       0.00473        
438.69977       438.69143       0.00833        
439.23848       439.23895       0.00048        
439.74022       439.74484       0.00462        
436.68560       436.67901       0.00660        
436.35758       436.34759       0.00999        
435.97376       435.96559       0.00817        
435.60003       435.59631       0.00372        
435.16772       435.18102       0.01330        
436.55415       436.54289       0.01126        
436.12384       436.11407       0.00976        
435.67776       435.66900       0.00875        
435.20985       435.20697       0.00287        
434.75652       434.76534       0.00883        
436.61349       436.61662       0.00313        
436.43989       436.45765       0.01776        
436.31281       436.32665       0.01384        
436.14396       436.14966       0.00570        
435.80516       435.82890       0.02374        
436.76203       436.75229       0.00975        
436.65386       436.63743       0.01643        
436.55879       436.54072       0.01807        
436.42856       436.42219       0.00637        
436.24588       436.26395       0.01807        
436.76968       436.76755       0.00212        
436.59019       436.59088       0.00069        
436.41661       436.42266       0.00605        
436.26509       436.27539       0.01029        
436.06431       436.07711       0.01280        
436.87398       436.87024       0.00373        
436.86045       436.86305       0.00260        
436.81743       436.82516       0.00772        
436.78803       436.79422       0.00619        
436.70997       436.71896       0.00898        
218.55526       218.56343       0.00817        
218.53440       218.52625       0.00815        
437.08504       437.07730       0.00774        
218.50464       218.50765       0.00302        
437.15449       437.17990       0.02541        
437.18379       437.21563       0.03183        
218.52017       218.51370       0.00647        
437.18973       437.22777       0.03804        
218.52066       218.52650       0.00583        
436.96063       436.95818       0.00245        
874.24517       874.24336       0.00181        
218.51963       218.52232       0.00270        
109.32516       109.34339       0.01824        
218.51415       218.52068       0.00653        
876.04806       876.05108       0.00303        
873.40268       873.40334       0.00065        
875.97024       875.97636       0.00611        
873.86113       873.85975       0.00138        
873.09466       873.12219       0.02753        
875.36111       875.36487       0.00376        
874.89454       874.88772       0.00682        
874.37625       874.35599       0.02026        
875.72922       875.74160       0.01238        
873.43447       873.41119       0.02328        
875.97084       875.97414       0.00329        
873.88352       873.88164       0.00188        
873.13767       873.11341       0.02426        
875.36630       875.35572       0.01058        
874.90378       874.91176       0.00798        
874.39117       874.40133       0.01016        
875.73150       875.73858       0.00707        
890.17289       890.17291       0.00002        
875.78205       875.76187       0.02017        
880.83415       880.83404       0.00011        
908.18880       908.18880       0.00000        
874.54831       874.54763       0.00069        
874.69018       874.69926       0.00909        
876.38329       876.38400       0.00072        
875.12939       875.08794       0.04145        
6925.55132      6925.54779      0.00353        
6925.60465      6925.60806      0.00341        
6925.70734      6925.70873      0.00139        
6925.66053      6925.67007      0.00954        
6925.64008      6925.64932      0.00924        
6925.66143      6925.66411      0.00268        
6925.69779      6925.69891      0.00111        
6925.66390      6925.67063      0.00673        
6925.98130      6925.96049      0.02082        
6925.94640      6925.93277      0.01363        
6925.87533      6925.87795      0.00263        
6926.06254      6926.08644      0.02390        
6926.08139      6926.07596      0.00544        
6925.55316      6925.48561      0.06756        
6926.23144      6926.25613      0.02468        
6925.42046      6925.44623      0.02577        
6925.97995      6925.91361      0.06634        
6925.20247      6925.20673      0.00426        
7026.35723      7026.34992      0.00732        
7026.25067      7026.24482      0.00585        
7026.32623      7026.33058      0.00435        
7026.28031      7026.27232      0.00799        
7027.87068      7027.88696      0.01629        
7027.24196      7027.25536      0.01340        
7027.81397      7027.84711      0.03314        
6935.42986      6935.40384      0.02602        
6935.43028      6935.42098      0.00931        
6935.45689      6935.45926      0.00237        
6935.52256      6935.52422      0.00166        
6935.41167      6935.42223      0.01056        
6935.50214      6935.50254      0.00040        
6935.46977      6935.47221      0.00244        
6935.54334      6935.54658      0.00324        
6935.35989      6935.35822      0.00167        
6935.31669      6935.30677      0.00992        
6935.51173      6935.49628      0.01545        
6935.57541      6935.60317      0.02776        
6935.67756      6935.69298      0.01542        
6934.39798      6934.34794      0.05005        
6935.56097      6935.60509      0.04412        
6934.87198      6934.88115      0.00917        
6935.42033      6935.43270      0.01238        
6934.38704      6934.43850      0.05146        
7036.27012      7036.25546      0.01466        
7036.10773      7036.09235      0.01538        
7036.14918      7036.13559      0.01358        
7036.17833      7036.15257      0.02576        
7037.65572      7037.63712      0.01860        
7037.03693      7037.05148      0.01456        
7038.08304      7038.10221      0.01917        
6944.93174      6944.91114      0.02060        
6944.85870      6944.80973      0.04897        
6945.00058      6945.00849      0.00791        
6944.97535      6944.98323      0.00788        
6944.89959      6944.92342      0.02383        
6945.01641      6945.02518      0.00877        
6944.97526      6944.98318      0.00791        
6944.98118      6944.98713      0.00594        
6944.90399      6944.89448      0.00951        
6944.65960      6944.64515      0.01445        
6945.03011      6944.99975      0.03036        
6944.50014      6944.52054      0.02039        
6944.86750      6944.87336      0.00586        
6943.65562      6943.63591      0.01971        
6944.93209      6944.95879      0.02670        
6944.32630      6944.34529      0.01898        
6944.67975      6944.67951      0.00024        
6944.34099      6944.32034      0.02065        
7045.79313      7045.80628      0.01314        
7045.75208      7045.75161      0.00047        
7045.84461      7045.86427      0.01966        
7045.76685      7045.76168      0.00518        
7047.54063      7047.53458      0.00605        
7046.62736      7046.63975      0.01238        
7047.36128      7047.37199      0.01072        
6952.96185      6952.93540      0.02645        
6953.04087      6953.00421      0.03666        
6952.95221      6952.96235      0.01014        
6952.93890      6952.95275      0.01385        
6952.82868      6952.84269      0.01401        
6952.93398      6952.95881      0.02483        
6952.92968      6952.93908      0.00939        
6952.93284      6952.94910      0.01626        
6953.16524      6953.17744      0.01221        
6952.98244      6952.94403      0.03841        
6952.90529      6952.90304      0.00225        
6952.87652      6952.89057      0.01405        
6952.82393      6952.77074      0.05319        
6952.15918      6952.13534      0.02385        
6953.25241      6953.24655      0.00586        
6952.39855      6952.41033      0.01178        
6952.82998      6952.85523      0.02525        
6952.09023      6952.10411      0.01388        
7054.05525      7054.06335      0.00810        
7054.04142      7054.05021      0.00879        
7054.06898      7054.07794      0.00896        
7054.01082      7054.01564      0.00482        
7056.28486      7056.27947      0.00538        
7055.02519      7055.02553      0.00034        
7055.52013      7055.48379      0.03634        
6961.40153      6961.36665      0.03488        
6961.43345      6961.41187      0.02158        
6961.37946      6961.39753      0.01807        
6961.38882      6961.40266      0.01384        
6961.22768      6961.22762      0.00006        
6961.30859      6961.31477      0.00618        
6961.36773      6961.37853      0.01081        
6961.31258      6961.32185      0.00927        
6961.48804      6961.46270      0.02534        
6961.29674      6961.28949      0.00725        
6961.36025      6961.35173      0.00852        
6960.80114      6960.80985      0.00871        
6961.45826      6961.42793      0.03032        
6960.43901      6960.53386      0.09485        
6961.69252      6961.69013      0.00239        
6960.48960      6960.50994      0.02033        
6960.95684      6960.95278      0.00406        
6960.61423      6960.62099      0.00676        
7062.72929      7062.74832      0.01903        
7062.72117      7062.71152      0.00965        
7062.66849      7062.67023      0.00175        
7062.66351      7062.65984      0.00367        
7064.57933      7064.60170      0.02237        
7063.40290      7063.36848      0.03442        
7063.68369      7063.66984      0.01385        
6969.05595      6969.07028      0.01433        
6969.13114      6969.16238      0.03124        
6968.79976      6968.78877      0.01099        
6968.74178      6968.71956      0.02223        
6968.72090      6968.71664      0.00426        
6968.79325      6968.78391      0.00934        
6968.78933      6968.78315      0.00618        
6968.68733      6968.66010      0.02723        
6969.36590      6969.37201      0.00611        
6969.10382      6969.13550      0.03168        
6968.99246      6969.00342      0.01096        
6968.79162      6968.74804      0.04358        
6969.46520      6969.41956      0.04564        
6968.31629      6968.27877      0.03752        
6969.62374      6969.64452      0.02078        
6967.80554      6967.79849      0.00705        
6968.36879      6968.41248      0.04369        
6968.54376      6968.58930      0.04554        
7069.93501      7069.95653      0.02152        
7070.16303      7070.17904      0.01601        
7070.00422      7070.02149      0.01727        
7070.07276      7070.08245      0.00970        
7071.29935      7071.26571      0.03364        
7070.94879      7070.92893      0.01987        
7071.45837      7071.44056      0.01781        
# MSE = 3.99670E-04
# Maxerror = 9.48460E-02
