# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1000
  2.462477732966E-006  4.516339859370E+005 -3.546202757644E+007  2.878120064764E+009  0.000000000000E+000  1.879799571950E-002
  9.849959442330E-006  4.513720893773E+005 -3.544077204938E+007  2.876351778717E+009  0.000000000000E+000  1.880163069433E-002
  2.216259066178E-005  4.509359381753E+005 -3.540537472238E+007  2.873407074680E+009  0.000000000000E+000  1.880769046965E-002
  3.940061395432E-005  4.503260462128E+005 -3.535587836151E+007  2.869289606369E+009  0.000000000000E+000  1.881617727225E-002
  6.156436892224E-005  4.495431314987E+005 -3.529234271736E+007  2.864004478307E+009  0.000000000000E+000  1.882709422125E-002
  8.865429222131E-005  4.485881147474E+005 -3.521484440349E+007  2.857558235185E+009  0.000000000000E+000  1.884044532980E-002
  1.206709175794E-004  4.474621175583E+005 -3.512347674083E+007  2.849958848235E+009  0.000000000000E+000  1.885623550726E-002
  1.576148758184E-004  4.461664602018E+005 -3.501834956834E+007  2.841215698655E+009  0.000000000000E+000  1.887447056171E-002
  1.994868948811E-004  4.447026590160E+005 -3.489958902060E+007  2.831339558136E+009  0.000000000000E+000  1.889515720316E-002
  2.462877998613E-004  4.430724234244E+005 -3.476733727290E+007  2.820342566552E+009  0.000000000000E+000  1.891830304702E-002
  2.980185130383E-004  4.412776525797E+005 -3.462175225451E+007  2.808238206868E+009  0.000000000000E+000  1.894391661822E-002
  3.546800539158E-004  4.393204316459E+005 -3.446300733108E+007  2.795041277346E+009  0.000000000000E+000  1.897200735567E-002
  4.162735392647E-004  4.372030277262E+005 -3.429129095692E+007  2.780767861129E+009  0.000000000000E+000  1.900258561731E-002
  4.828001831694E-004  4.349278854512E+005 -3.410680629828E+007  2.765435293292E+009  0.000000000000E+000  1.903566268559E-002
  5.542612970792E-004  4.324976222360E+005 -3.390977082861E+007  2.749062125446E+009  0.000000000000E+000  1.907125077340E-002
  6.306582898628E-004  4.299150232223E+005 -3.370041589695E+007  2.731668088014E+009  0.000000000000E+000  1.910936303056E-002
  7.119926678676E-004  4.271830359175E+005 -3.347898627071E+007  2.713274050265E+009  0.000000000000E+000  1.915001355071E-002
  7.982660349828E-004  4.243047645454E+005 -3.324573965399E+007  2.693901978239E+009  0.000000000000E+000  1.919321737875E-002
  8.894800927067E-004  4.212834641259E+005 -3.300094618304E+007  2.673574890676E+009  0.000000000000E+000  1.923899051873E-002
  9.856366402179E-004  4.181225342960E+005 -3.274488789985E+007  2.652316813061E+009  0.000000000000E+000  1.928734994222E-002
  1.086737574451E-003  4.148255128928E+005 -3.247785820578E+007  2.630152729936E+009  0.000000000000E+000  1.933831359717E-002
  1.192784890174E-003  4.113960693118E+005 -3.220016129632E+007  2.607108535599E+009  0.000000000000E+000  1.939190041728E-002
  1.303780680078E-003  4.078379976615E+005 -3.191211157881E+007  2.583210983320E+009  0.000000000000E+000  1.944813033181E-002
  1.419727134858E-003  4.041552097299E+005 -3.161403307448E+007  2.558487633236E+009  0.000000000000E+000  1.950702427591E-002
  1.540626543307E-003  4.003517277816E+005 -3.130625880660E+007  2.532966799041E+009  0.000000000000E+000  1.956860420140E-002
  1.666481292416E-003  3.964316772066E+005 -3.098913017619E+007  2.506677493637E+009  0.000000000000E+000  1.963289308809E-002
  1.797293867468E-003  3.923992790358E+005 -3.066299632708E+007  2.479649373882E+009  0.000000000000E+000  1.969991495548E-002
  1.933066852148E-003  3.882588423458E+005 -3.032821350191E+007  2.451912684581E+009  0.000000000000E+000  1.976969487507E-002
  2.073802928647E-003  3.840147565701E+005 -2.998514439074E+007  2.423498201881E+009  0.000000000000E+000  1.984225898299E-002
  2.219504877777E-003  3.796714837378E+005 -2.963415747400E+007  2.394437176198E+009  0.000000000000E+000  1.991763449327E-002
  2.370175579090E-003  3.752335506563E+005 -2.927562636138E+007  2.364761274845E+009  0.000000000000E+000  1.999584971142E-002
  2.525818010992E-003  3.707055410609E+005 -2.890992912837E+007  2.334502524489E+009  0.000000000000E+000  2.007693404858E-002
  2.686435250879E-003  3.660920877466E+005 -2.853744765205E+007  2.303693253605E+009  0.000000000000E+000  2.016091803610E-002
  2.852030475254E-003  3.613978647043E+005 -2.815856694787E+007  2.272366035043E+009  0.000000000000E+000  2.024783334050E-002
  3.022606959872E-003  3.566275792771E+005 -2.777367450890E+007  2.240553628882E+009  0.000000000000E+000  2.033771277900E-002
  3.198168079872E-003  3.517859643577E+005 -2.738315964914E+007  2.208288925677E+009  0.000000000000E+000  2.043059033534E-002
  3.378717309917E-003  3.468777706424E+005 -2.698741285260E+007  2.175604890266E+009  0.000000000000E+000  2.052650117616E-002
  3.564258224347E-003  3.419077589613E+005 -2.658682512939E+007  2.142534506243E+009  0.000000000000E+000  2.062548166761E-002
  3.754794497325E-003  3.368806927003E+005 -2.618178738053E+007  2.109110721247E+009  0.000000000000E+000  2.072756939256E-002
  3.950329902993E-003  3.318013303319E+005 -2.577268977273E+007  2.075366393178E+009  0.000000000000E+000  2.083280316801E-002
  4.150868315631E-003  3.266744180717E+005 -2.535992112462E+007  2.041334237458E+009  0.000000000000E+000  2.094122306294E-002
  4.356413709820E-003  3.215046826746E+005 -2.494386830564E+007  2.007046775471E+009  0.000000000000E+000  2.105287041646E-002
  4.566970160612E-003  3.162968243857E+005 -2.452491564890E+007  1.972536284260E+009  0.000000000000E+000  2.116778785631E-002
