# Reference      Predicted      Error          
6961.36025      6961.35955      0.00070        
6960.80114      6960.79903      0.00210        
6961.45826      6961.43710      0.02115        
6960.43901      6960.55368      0.11467        
6961.69252      6961.67926      0.01326        
6960.48960      6960.51645      0.02684        
6960.95684      6960.94166      0.01517        
6960.61423      6960.65042      0.03619        
7062.72929      7062.73215      0.00286        
7062.72117      7062.68980      0.03137        
7062.66849      7062.65567      0.01281        
7062.66351      7062.64995      0.01355        
7064.57933      7064.59456      0.01523        
7063.40290      7063.37841      0.02449        
7063.68369      7063.68179      0.00191        
6969.05595      6969.08390      0.02795        
6969.13114      6969.17211      0.04097        
6968.79976      6968.78498      0.01478        
6968.74178      6968.71507      0.02672        
6968.72090      6968.70944      0.01146        
6968.79325      6968.77925      0.01400        
6968.78933      6968.77589      0.01344        
6968.68733      6968.65704      0.03029        
6969.36590      6969.37929      0.01339        
6969.10382      6969.10339      0.00043        
6968.99246      6969.01220      0.01974        
6968.79162      6968.75229      0.03934        
6969.46520      6969.39989      0.06531        
6968.31629      6968.25868      0.05762        
6969.62374      6969.66415      0.04041        
6967.80554      6967.79203      0.01351        
6968.36879      6968.37477      0.00598        
6968.54376      6968.60336      0.05960        
7069.93501      7069.97434      0.03933        
7070.16303      7070.19415      0.03112        
7070.00422      7070.04760      0.04338        
7070.07276      7070.10602      0.03326        
7071.29935      7071.24318      0.05616        
7070.94879      7070.93067      0.01812        
7071.45837      7071.43748      0.02089        
# MSE = 6.62750E-04
# Maxerror = 1.14666E-01
