# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1500
# Principal QN=   6 , l=   0 , Occupation=   2.0000
  1.095162808058E-006  3.274469959970E+001 -4.494398117734E+003  5.770746168291E+005
  4.380660827375E-006  3.272993637775E+001 -4.492502557624E+003  5.768205484712E+005
  9.856522843207E-006  3.270534469952E+001 -4.489345126729E+003  5.763973479810E+005
  1.752279683184E-005  3.267094508189E+001 -4.484928576197E+003  5.758053851581E+005
  2.737954996144E-005  3.262676620715E+001 -4.479256752084E+003  5.750451770042E+005
  3.942686859268E-005  3.257284488180E+001 -4.472334589809E+003  5.741173870061E+005
  5.366485828133E-005  3.250922598366E+001 -4.464168107045E+003  5.730228242166E+005
  7.009364377944E-005  3.243596239754E+001 -4.454764395066E+003  5.717624421347E+005
  8.871336903816E-005  3.235311493936E+001 -4.444131608545E+003  5.703373373868E+005
  1.095241972100E-004  3.226075226920E+001 -4.432278953855E+003  5.687487482118E+005
  1.325263106521E-004  3.215895079308E+001 -4.419216675857E+003  5.669980527520E+005
  1.577199109300E-004  3.204779455404E+001 -4.404956043238E+003  5.650867671542E+005
  1.851052188203E-004  3.192737511240E+001 -4.389509332395E+003  5.630165434828E+005
  2.146824743162E-004  3.179779141569E+001 -4.372889809921E+003  5.607891674506E+005
  2.464519366306E-004  3.165914965834E+001 -4.355111713707E+003  5.584065559694E+005
  2.804138842019E-004  3.151156313156E+001 -4.336190232709E+003  5.558707545266E+005
  3.165686146990E-004  3.135515206352E+001 -4.316141485412E+003  5.531839343911E+005
  3.549164450264E-004  3.119004345030E+001 -4.294982497032E+003  5.503483896544E+005
  3.954577113307E-004  3.101637087791E+001 -4.272731175501E+003  5.473665341119E+005
  4.381927690060E-004  3.083427433562E+001 -4.249406286283E+003  5.442408979903E+005
  4.831219927018E-004  3.064390002118E+001 -4.225027426059E+003  5.409741245261E+005
  5.302457763288E-004  3.044540013802E+001 -4.199614995339E+003  5.375689664024E+005
  5.795645330668E-004  3.023893268511E+001 -4.173190170054E+003  5.340282820497E+005
  6.310786953726E-004  3.002466123972E+001 -4.145774872165E+003  5.303550318167E+005
  6.847887149874E-004  2.980275473350E+001 -4.117391739369E+003  5.265522740199E+005
  7.406950629455E-004  2.957338722239E+001 -4.088064093932E+003  5.226231608762E+005
  7.987982295837E-004  2.933673765075E+001 -4.057815910727E+003  5.185709343276E+005
  8.590987245496E-004  2.909298961013E+001 -4.026671784527E+003  5.143989217649E+005
  9.215970768112E-004  2.884233109326E+001 -3.994656896603E+003  5.101105316574E+005
  9.862938346673E-004  2.858495424350E+001 -3.961796980715E+003  5.057092490965E+005
  1.053189565757E-003  2.832105510051E+001 -3.928118288529E+003  5.011986312611E+005
  1.122284857072E-003  2.805083334234E+001 -3.893647554536E+003  4.965823028119E+005
  1.193580314965E-003  2.777449202460E+001 -3.858411960541E+003  4.918639512233E+005
  1.267076565161E-003  2.749223731714E+001 -3.822439099774E+003  4.870473220608E+005
  1.342774252774E-003  2.720427823866E+001 -3.785756940691E+003  4.821362142109E+005
  1.420674042311E-003  2.691082638987E+001 -3.748393790538E+003  4.771344750729E+005
  1.500776617692E-003  2.661209568553E+001 -3.710378258723E+003  4.720459957197E+005
  1.583082682258E-003  2.630830208591E+001 -3.671739220084E+003  4.668747060363E+005
  1.667592958786E-003  2.599966332830E+001 -3.632505778092E+003  4.616245698437E+005
