#Reference      Predicted      Error      No_of_atoms structure_no
436.92536757043206 436.95535013471425 0.029982564282192925 20 0
437.55604202626205 437.5928289279095 0.036786901647474224 20 1
438.15711996305356 438.1740237569526 0.016903793899018638 20 2
438.69976657180734 438.6912272231728 0.00853934863454242 20 3
439.23847552601524 439.211097075817 0.02737845019822771 20 4
439.7402241016663 439.6754963692816 0.06472773238471063 20 5
436.6856026562423 436.691830600196 0.0062279439537178405 20 6
436.35758391949696 436.3230426424203 0.03454127707664156 20 7
435.97376206886156 435.9040604467016 0.06970162215998243 20 8
435.6000334134375 435.49003869614006 0.10999471729741117 20 9
435.16772234137227 435.0211169914464 0.14660534992589191 20 10
436.5541525476216 436.59139264228213 0.037240094660546674 20 11
436.12383520796277 436.1540426722339 0.03020746427114318 20 12
435.67775690289193 435.69118041850805 0.013423515616125314 20 13
435.20984703062663 435.20899412826327 0.000852902363362773 20 14
434.7565169816686 434.7300035903282 0.026513391340415637 20 15
436.6134889555872 436.61764614326984 0.004157187682665153 20 16
436.4398907000394 436.419857076825 0.020033623214430918 20 17
436.3128087433432 436.2831065296483 0.0297022136949181 20 18
436.1439596331144 436.0749810644727 0.06897856864168261 20 19
435.8051612089316 435.7059819423624 0.09917926656919462 20 20
436.76203441306996 436.7816565788029 0.019622165732926078 20 21
436.6538622243287 436.6677766310071 0.013914406678395608 20 22
436.5587924782918 436.55192924928497 0.006863229006853544 20 23
436.4285615237619 436.40281474075357 0.02574678300834421 20 24
436.2458835739883 436.2033086659444 0.04257490804388908 20 25
436.7696758587707 436.7790041082456 0.009328249474890526 20 26
436.5901897758746 436.5771052615496 0.01308451432498714 20 27
436.41661043434124 436.3725109351864 0.04409949915481093 20 28
436.265091922275 436.2064444389351 0.0586474833399393 20 29
436.0643131969848 435.9921281650626 0.07218503192223125 20 30
436.8739750548191 436.90028625859077 0.026311203771683722 20 31
436.8604484797221 436.8874698986817 0.02702141895957766 20 32
436.8174349820048 436.8352311924796 0.0177962104748417 20 33
436.7880309800672 436.7926560446784 0.004625064611161633 20 34
436.70997189693924 436.6958302941247 0.014141602814561338 20 35
1119.4440185258309 1119.4500733884659 0.006054862634982783 66 36
25.87640628530322 25.876582868704855 0.00017658340163606567 2 37
766.8420144539086 766.8326510288001 0.009363425108517731 32 38
332.60144583620155 332.6373598171993 0.035913980997747785 12 39
218.55525970103923 218.52738526379574 0.02787443724349714 10 40
218.53440021006156 218.54220194801792 0.007801737956356192 10 41
437.08504335604516 437.08597548326304 0.000932127217879497 20 42
218.50463735152613 218.49002582814032 0.014611523385809733 10 43
437.15449055519525 437.1560722876887 0.0015817324934346289 20 44
437.1837940287851 437.14663610783833 0.037157920946754075 20 45
218.52017405593364 218.52663326643463 0.006459210500992185 10 46
437.1897277388265 437.16206284231373 0.027664896512760606 20 47
218.52066339737968 218.4942788348814 0.02638456249826504 10 48
436.96062964162206 436.99358897334207 0.03295933172000787 20 49
874.2451711508595 874.1927144484847 0.052456702374797715 40 50
218.5196273873297 218.4988685758366 0.020758811493095664 10 51
109.32515741213405 109.30740192701751 0.01775548511653824 5 52
218.51414613218867 218.48288601751926 0.03126011466940781 10 53
876.0480567531336 876.1032800066816 0.055223253548092543 40 54
874.3762474313428 874.4095829050142 0.033335473671399996 40 55
875.3611078436736 875.4294963164347 0.06838847276105753 40 56
875.7292227065868 875.8057912279613 0.07656852137449732 40 57
873.0946582576917 873.0264593394944 0.06819891819725399 40 58
873.4026814387555 873.392409915123 0.010271523632468416 40 59
873.8611251715245 873.8709351647784 0.009809993253952598 40 60
875.9702449254555 876.0303768136323 0.06013188817678383 40 61
874.8945400390662 874.956894679684 0.0623546406177411 40 62
874.3911694857081 874.401508008158 0.010338522449842458 40 63
875.36629992034 875.4252569850116 0.05895706467163109 40 64
875.7315029847218 875.8037181445941 0.07221515987225757 40 65
873.1376712251224 873.0181277189728 0.1195435061496255 40 66
873.4344706721511 873.3840782946014 0.050392377549655976 40 67
873.883523228564 873.8626035442568 0.020919684307159514 40 68
875.9708426673162 876.0298299720764 0.05898730476019409 40 69
874.9037750063515 874.9504035596495 0.0466285532980919 40 70
876.3832868505804 876.370934307437 0.01235254314337908 40 71
874.548314940467 874.5011345231934 0.04718041727358013 40 72
875.1293920663588 875.0960079675668 0.03338409879199844 40 73
908.188799552018 908.3282457181705 0.13944616615242467 40 74
890.1728902323309 890.1684660763437 0.004424155987180711 40 75
880.834152655958 880.7816938766236 0.05245877933430165 40 76
875.7820468334878 875.8308294288938 0.04878259540600993 40 77
874.6901767216073 874.7338542154196 0.043677493812310786 40 78
