# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1500
  1.095162808058E-006  2.370716794902E+006 -3.336048436588E+008  4.891062104017E+010 -2.193631461157E-008  1.081634487446E-002
  4.380660827375E-006  2.369621000788E+006 -3.334441876269E+008  4.888644615610E+010 -2.193588268276E-008  1.081801190061E-002
  9.856522843207E-006  2.367795839157E+006 -3.331766024504E+008  4.884618156791E+010 -2.193515527925E-008  1.082079079295E-002
  1.752279683184E-005  2.365243050873E+006 -3.328023501409E+008  4.878986755610E+010 -2.193413842691E-008  1.082468232482E-002
  2.737954996144E-005  2.361965069199E+006 -3.323217969080E+008  4.871756041868E+010 -2.193282105878E-008  1.082968757922E-002
  3.942686859268E-005  2.357965015870E+006 -3.317354125544E+008  4.862933237677E+010 -2.193121403154E-008  1.083580794925E-002
  5.366485828133E-005  2.353246696047E+006 -3.310437697008E+008  4.852527145359E+010 -2.192931157972E-008  1.084304513853E-002
  7.009364377944E-005  2.347814592178E+006 -3.302475428421E+008  4.840548132713E+010 -2.192709895613E-008  1.085140116178E-002
  8.871336903816E-005  2.341673856783E+006 -3.293475072369E+008  4.827008115688E+010 -2.192458011331E-008  1.086087834552E-002
  1.095241972100E-004  2.334830304160E+006 -3.283445376338E+008  4.811920538497E+010 -2.192175039803E-008  1.087147932884E-002
  1.325263106521E-004  2.327290401057E+006 -3.272396068361E+008  4.795300351223E+010 -2.191860102496E-008  1.088320706427E-002
  1.577199109300E-004  2.319061256308E+006 -3.260337841093E+008  4.777163984970E+010 -2.191514550474E-008  1.089606481882E-002
  1.851052188203E-004  2.310150609473E+006 -3.247282334351E+008  4.757529324610E+010 -2.191134024657E-008  1.091005617501E-002
  2.146824743162E-004  2.300566818494E+006 -3.233242116147E+008  4.736415679195E+010 -2.190721693061E-008  1.092518503213E-002
  2.464519366306E-004  2.290318846413E+006 -3.218230662273E+008  4.713843750104E+010 -2.190274717299E-008  1.094145560750E-002
  2.804138842019E-004  2.279416247162E+006 -3.202262334474E+008  4.689835596995E+010 -2.189792672928E-008  1.095887243787E-002
  3.165686146990E-004  2.267869150469E+006 -3.185352357262E+008  4.664414601636E+010 -2.189274980832E-008  1.097744038094E-002
  3.549164450264E-004  2.255688245908E+006 -3.167516793428E+008  4.637605429714E+010 -2.188720382759E-008  1.099716461697E-002
  3.954577113307E-004  2.242884766141E+006 -3.148772518302E+008  4.609433990688E+010 -2.188128631082E-008  1.101805065046E-002
  4.381927690060E-004  2.229470469368E+006 -3.129137192818E+008  4.579927395796E+010 -2.187498582537E-008  1.104010431197E-002
  4.831219927018E-004  2.215457621042E+006 -3.108629235449E+008  4.549113914296E+010 -2.186827990264E-008  1.106333176005E-002
  5.302457763288E-004  2.200858974880E+006 -3.087267793077E+008  4.517022928057E+010 -2.186117072126E-008  1.108773948318E-002
  5.795645330668E-004  2.185687753220E+006 -3.065072710856E+008  4.483684884585E+010 -2.185362881936E-008  1.111333430192E-002
  6.310786953726E-004  2.169957626755E+006 -3.042064501136E+008  4.449131248601E+010 -2.184567330655E-008  1.114012337110E-002
  6.847887149874E-004  2.153682693695E+006 -3.018264311522E+008  4.413394452268E+010 -2.183725754490E-008  1.116811418210E-002
  7.406950629455E-004  2.136877458408E+006 -2.993693892134E+008  4.376507844195E+010 -2.182837865710E-008  1.119731456524E-002
  7.987982295837E-004  2.119556809569E+006 -2.968375562140E+008  4.338505637311E+010 -2.181903200761E-008  1.122773269224E-002
  8.590987245496E-004  2.101735997885E+006 -2.942332175632E+008  4.299422855730E+010 -2.180918535984E-008  1.125937707885E-002
  9.215970768112E-004  2.083430613422E+006 -2.915587086927E+008  4.259295280728E+010 -2.179883487048E-008  1.129225658743E-002
  9.862938346673E-004  2.064656562597E+006 -2.888164115352E+008  4.218159395944E+010 -2.178796605267E-008  1.132638042976E-002
  1.053189565757E-003  2.045430044875E+006 -2.860087509603E+008  4.176052331917E+010 -2.177654326073E-008  1.136175816985E-002
  1.122284857072E-003  2.025767529226E+006 -2.831381911750E+008  4.133011810088E+010 -2.176455979170E-008  1.139839972684E-002
  1.193580314965E-003  2.005685730380E+006 -2.802072320946E+008  4.089076086377E+010 -2.175199661594E-008  1.143631537804E-002
  1.267076565161E-003  1.985201584937E+006 -2.772184056945E+008  4.044283894453E+010 -2.173883248141E-008  1.147551576198E-002
  1.342774252774E-003  1.964332227380E+006 -2.741742723475E+008  3.998674388817E+010 -2.172504538291E-008  1.151601188156E-002
  1.420674042311E-003  1.943094966031E+006 -2.710774171558E+008  3.952287087815E+010 -2.171061214806E-008  1.155781510731E-002
  1.500776617692E-003  1.921507259004E+006 -2.679304462843E+008  3.905161816693E+010 -2.169549775808E-008  1.160093718066E-002
  1.583082682258E-003  1.899586690204E+006 -2.647359833027E+008  3.857338650810E+010 -2.167970368181E-008  1.164539021731E-002
  1.667592958786E-003  1.877350945408E+006 -2.614966655435E+008  3.808857859123E+010 -2.166318896160E-008  1.169118671066E-002
  1.754308189501E-003  1.854817788486E+006 -2.582151404828E+008  3.759759848047E+010 -2.164592566533E-008  1.173833953532E-002
  1.843229136092E-003  1.832005037796E+006 -2.548940621510E+008  3.710085105814E+010 -2.162789763174E-008  1.178686195060E-002
  1.934356579726E-003  1.808930542802E+006 -2.515360875800E+008  3.659874147410E+010 -2.160906620233E-008  1.183676760415E-002
  2.027691321059E-003  1.785612160956E+006 -2.481438732937E+008  3.609167460228E+010 -2.158940761722E-008  1.188807053556E-002
