# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1500
# Principal QN=   6 , l=   0 , Occupation=   1.0010
  1.095162808058E-006  7.413324595706E+000 -5.453483785343E+002  3.770180776026E+004
  4.380660827375E-006  7.411533058157E+000 -5.452245252771E+002  3.769209427389E+004
  9.856522843207E-006  7.408548048908E+000 -5.450181728817E+002  3.767591106903E+004
  1.752279683184E-005  7.404370897184E+000 -5.447294258318E+002  3.765326704869E+004
  2.737954996144E-005  7.399003462352E+000 -5.443584302722E+002  3.762417466585E+004
  3.942686859268E-005  7.392448132380E+000 -5.439053738773E+002  3.758864991217E+004
  5.366485828133E-005  7.384707821850E+000 -5.433704856814E+002  3.754671230365E+004
  7.009364377944E-005  7.375785969543E+000 -5.427540358719E+002  3.749838486294E+004
  8.871336903816E-005  7.365686535586E+000 -5.420563355460E+002  3.744369409870E+004
  1.095241972100E-004  7.354413998176E+000 -5.412777364306E+002  3.738266998163E+004
  1.325263106521E-004  7.341973349873E+000 -5.404186305654E+002  3.731534591762E+004
  1.577199109300E-004  7.328370093474E+000 -5.394794499506E+002  3.724175871760E+004
  1.851052188203E-004  7.313610237479E+000 -5.384606661590E+002  3.716194856460E+004
  2.146824743162E-004  7.297700291133E+000 -5.373627899130E+002  3.707595897763E+004
  2.464519366306E-004  7.280647259082E+000 -5.361863706273E+002  3.698383677274E+004
  2.804138842019E-004  7.262458635618E+000 -5.349319959173E+002  3.688563202109E+004
  3.165686146990E-004  7.243142398540E+000 -5.336002910749E+002  3.678139800424E+004
  3.549164450264E-004  7.222707002637E+000 -5.321919185108E+002  3.667119116663E+004
  3.954577113307E-004  7.201161372787E+000 -5.307075771654E+002  3.655507106525E+004
  4.381927690060E-004  7.178514896700E+000 -5.291480018881E+002  3.643310031674E+004
  4.831219927018E-004  7.154777417301E+000 -5.275139627866E+002  3.630534454178E+004
  5.302457763288E-004  7.129959224759E+000 -5.258062645459E+002  3.617187230698E+004
  5.795645330668E-004  7.104071048192E+000 -5.240257457190E+002  3.603275506426E+004
  6.310786953726E-004  7.077124047033E+000 -5.221732779888E+002  3.588806708782E+004
  6.847887149874E-004  7.049129802082E+000 -5.202497654039E+002  3.573788540876E+004
  7.406950629455E-004  7.020100306257E+000 -5.182561435878E+002  3.558228974749E+004
  7.987982295837E-004  6.990047955038E+000 -5.161933789224E+002  3.542136244388E+004
  8.590987245496E-004  6.958985536644E+000 -5.140624677079E+002  3.525518838533E+004
  9.215970768112E-004  6.926926221924E+000 -5.118644352994E+002  3.508385493287E+004
  9.862938346673E-004  6.893883553996E+000 -5.096003352211E+002  3.490745184526E+004
  1.053189565757E-003  6.859871437636E+000 -5.072712482597E+002  3.472607120129E+004
  1.122284857072E-003  6.824904128433E+000 -5.048782815370E+002  3.453980732029E+004
  1.193580314965E-003  6.788996221723E+000 -5.024225675648E+002  3.434875668099E+004
  1.267076565161E-003  6.752162641316E+000 -4.999052632812E+002  3.415301783881E+004
  1.342774252774E-003  6.714418628021E+000 -4.973275490698E+002  3.395269134168E+004
  1.420674042311E-003  6.675779727997E+000 -4.946906277649E+002  3.374787964446E+004
  1.500776617692E-003  6.636261780932E+000 -4.919957236407E+002  3.353868702208E+004
  1.583082682258E-003  6.595880908066E+000 -4.892440813885E+002  3.332521948150E+004
  1.667592958786E-003  6.554653500075E+000 -4.864369650813E+002  3.310758467259E+004
  1.754308189501E-003  6.512596204828E+000 -4.835756571282E+002  3.288589179801E+004
  1.843229136092E-003  6.469725915031E+000 -4.806614572187E+002  3.266025152221E+004
  1.934356579726E-003  6.426059755774E+000 -4.776956812591E+002  3.243077587964E+004
  2.027691321059E-003  6.381615071984E+000 -4.746796603014E+002  3.219757818230E+004
  2.123234180258E-003  6.336409415824E+000 -4.716147394668E+002  3.196077292666E+004
  2.220985997007E-003  6.290460534017E+000 -4.685022768644E+002  3.172047570020E+004
  2.320947630532E-003  6.243786355141E+000 -4.653436425059E+002  3.147680308744E+004
  2.423119959611E-003  6.196404976888E+000 -4.621402172190E+002  3.122987257580E+004
  2.527503882591E-003  6.148334653311E+000 -4.588933915590E+002  3.097980246129E+004
  2.634100317410E-003  6.099593782068E+000 -4.556045647212E+002  3.072671175402E+004
  2.742910201606E-003  6.050200891682E+000 -4.522751434542E+002  3.047072008393E+004
  2.853934492340E-003  6.000174628824E+000 -4.489065409763E+002  3.021194760645E+004
  2.967174166416E-003  5.949533745637E+000 -4.455001758950E+002  2.995051490853E+004
  3.082630220291E-003  5.898297087111E+000 -4.420574711323E+002  2.968654291498E+004
  3.200303670101E-003  5.846483578531E+000 -4.385798528552E+002  2.942015279516E+004
  3.320195551679E-003  5.794112212992E+000 -4.350687494138E+002  2.915146587032E+004
  3.442306920571E-003  5.741202039017E+000 -4.315255902882E+002  2.888060352147E+004
  3.566638852059E-003  5.687772148272E+000 -4.279518050440E+002  2.860768709799E+004
  3.693192441180E-003  5.633841663399E+000 -4.243488222989E+002  2.833283782705E+004
  3.821968802746E-003  5.579429725978E+000 -4.207180687004E+002  2.805617672394E+004
  3.952969071365E-003  5.524555484625E+000 -4.170609679166E+002  2.777782450340E+004
  4.086194401465E-003  5.469238083247E+000 -4.133789396406E+002  2.749790149197E+004
  4.221645967311E-003  5.413496649452E+000 -4.096733986086E+002  2.721652754156E+004
  4.359324963032E-003  5.357350283134E+000 -4.059457536350E+002  2.693382194423E+004
  4.499232602637E-003  5.300818045245E+000 -4.021974066626E+002  2.664990334835E+004
