# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
1500
  1.095162808058E-006 -5.022084350869E+007  3.466575301245E+002 -3.417299781244E+004 -3.417299781244E+004
  4.380660827375E-006 -1.255518337697E+007  3.466575256581E+002 -8.585874029753E+003 -8.585874029753E+003
  9.856522843207E-006 -5.580061130575E+006  3.466574956041E+002 -3.847504701007E+003 -3.847504701007E+003
  1.752279683184E-005 -3.138768344335E+006  3.466574129825E+002 -2.189059999956E+003 -2.189059999956E+003
  2.737954996144E-005 -2.008798540424E+006  3.466572384533E+002 -1.421420098306E+003 -1.421420098306E+003
  3.942686859268E-005 -1.394987782778E+006  3.466569215485E+002 -1.004412577929E+003 -1.004412577929E+003
  5.366485828133E-005 -1.024879255465E+006  3.466564004347E+002 -7.529515158445E+002 -7.529515158445E+002
  7.009364377944E-005 -7.846645863221E+005  3.466556022129E+002 -5.897243833591E+002 -5.897243833591E+002
  8.871336903816E-005 -6.199742000142E+005  3.466544435162E+002 -4.777967413672E+002 -4.777967413672E+002
  1.095241972100E-004 -5.021721354831E+005  3.466528302151E+002 -3.977155652934E+002 -3.977155652934E+002
  1.325263106521E-004 -4.150119303054E+005  3.466506579579E+002 -3.384442925584E+002 -3.384442925584E+002
  1.577199109300E-004 -3.487194462367E+005  3.466478122786E+002 -2.933431552509E+002 -2.933431552509E+002
  1.851052188203E-004 -2.971283054606E+005  3.466441687618E+002 -2.582232186834E+002 -2.582232186834E+002
  2.146824743162E-004 -2.561923146041E+005  3.466395935110E+002 -2.303358381522E+002 -2.303358381522E+002
  2.464519366306E-004 -2.231672461249E+005  3.466339433349E+002 -2.078168249473E+002 -2.078168249473E+002
  2.804138842019E-004 -1.961386475443E+005  3.466270660766E+002 -1.893656767186E+002 -1.893656767186E+002
  3.165686146990E-004 -1.737380063791E+005  3.466188009779E+002 -1.740527620294E+002 -1.740527620294E+002
  3.549164450264E-004 -1.549660512234E+005  3.466089790243E+002 -1.611992848616E+002 -1.611992848616E+002
  3.954577113307E-004 -1.390793463476E+005  3.465974233501E+002 -1.503002458045E+002 -1.503002458045E+002
  4.381927690060E-004 -1.255155353767E+005  3.465839495901E+002 -1.409736584160E+002 -1.409736584160E+002
  4.831219927018E-004 -1.138428819860E+005  3.465683663093E+002 -1.329262710833E+002 -1.329262710833E+002
  5.302457763288E-004 -1.037254843986E+005  3.465504754304E+002 -1.259299364427E+002 -1.259299364427E+002
  5.795645330668E-004 -9.489883673344E+004  3.465300726687E+002 -1.198050096426E+002 -1.198050096426E+002
  6.310786953726E-004 -8.715236372783E+004  3.465069479787E+002 -1.144084837728E+002 -1.144084837728E+002
  6.847887149874E-004 -8.031674412306E+004  3.464808860197E+002 -1.096253783374E+002 -1.096253783374E+002
  7.406950629455E-004 -7.425457891035E+004  3.464516666255E+002 -1.053623999651E+002 -1.053623999651E+002
  7.987982295837E-004 -6.885343252283E+004  3.464190652761E+002 -1.015432151125E+002 -1.015432151125E+002
  8.590987245496E-004 -6.402058160293E+004  3.463828536140E+002 -9.810488276069E+001 -9.810488276069E+001
  9.215970768112E-004 -5.967900873808E+004  3.463427999035E+002 -9.499513284539E+001 -9.499513284539E+001
  9.862938346673E-004 -5.576431491996E+004  3.462986695539E+002 -9.217026879577E+001 -9.217026879577E+001
  1.053189565757E-003 -5.222231760381E+004  3.462502256297E+002 -8.959353581555E+001 -8.959353581555E+001
  1.122284857072E-003 -4.900716574176E+004  3.461972293344E+002 -8.723384035538E+001 -8.723384035538E+001
  1.193580314965E-003 -4.607984842782E+004  3.461394405431E+002 -8.506473697358E+001 -8.506473697358E+001
  1.267076565161E-003 -4.340700594759E+004  3.460766183016E+002 -8.306362062652E+001 -8.306362062652E+001
  1.342774252774E-003 -4.095997513089E+004  3.460085213435E+002 -8.121107812539E+001 -8.121107812539E+001
  1.420674042311E-003 -3.871401768595E+004  3.459349085873E+002 -7.949036389593E+001 -7.949036389593E+001
  1.500776617692E-003 -3.664769250242E+004  3.458555396567E+002 -7.788697353863E+001 -7.788697353863E+001
  1.583082682258E-003 -3.474234202446E+004  3.457701753637E+002 -7.638829487884E+001 -7.638829487884E+001
  1.667592958786E-003 -3.298166960363E+004  3.456785782249E+002 -7.498332082090E+001 -7.498332082090E+001
  1.754308189501E-003 -3.135138986933E+004  3.455805129316E+002 -7.366241180421E+001 -7.366241180421E+001
  1.843229136092E-003 -2.983893804794E+004  3.454757468462E+002 -7.241709830400E+001 -7.241709830400E+001
  1.934356579726E-003 -2.843322713943E+004  3.453640504672E+002 -7.123991584238E+001 -7.123991584238E+001
  2.027691321059E-003 -2.712444415418E+004  3.452451978964E+002 -7.012426653335E+001 -7.012426653335E+001
  2.123234180258E-003 -2.590387839052E+004  3.451189672934E+002 -6.906430239356E+001 -6.906430239356E+001
  2.220985997007E-003 -2.476377612201E+004  3.449851413149E+002 -6.805482659333E+001 -6.805482659333E+001
  2.320947630532E-003 -2.369721715237E+004  3.448435075483E+002 -6.709120956270E+001 -6.709120956270E+001
  2.423119959611E-003 -2.269800955659E+004  3.446938589238E+002 -6.616931745135E+001 -6.616931745135E+001
  2.527503882591E-003 -2.176059960929E+004  3.445359941192E+002 -6.528545090549E+001 -6.528545090549E+001
  2.634100317410E-003 -2.087999444686E+004  3.443697179494E+002 -6.443629249481E+001 -6.443629249481E+001
  2.742910201606E-003 -2.005169544661E+004  3.441948417342E+002 -6.361886141958E+001 -6.361886141958E+001
  2.853934492340E-003 -1.927164065875E+004  3.440111836587E+002 -6.283047436757E+001 -6.283047436757E+001
