# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1500
# Principal QN=   6 , l=   0 , Occupation=   1.0000
  1.095162808058E-006  7.486793944719E+000 -5.509072186998E+002  3.811272395992E+004
  4.380660827375E-006  7.484984145829E+000 -5.507820155685E+002  3.810289469339E+004
  9.856522843207E-006  7.481968710688E+000 -5.505734142149E+002  3.808651859841E+004
  1.752279683184E-005  7.477748983025E+000 -5.502815203697E+002  3.806360469312E+004
  2.737954996144E-005  7.472326842496E+000 -5.499064819223E+002  3.803416559151E+004
  3.942686859268E-005  7.465704703120E+000 -5.494484887867E+002  3.799821749205E+004
  5.366485828133E-005  7.457885511274E+000 -5.489077727300E+002  3.795578016301E+004
  7.009364377944E-005  7.448872743244E+000 -5.482846071634E+002  3.790687692470E+004
  8.871336903816E-005  7.438670402343E+000 -5.475793068950E+002  3.785153462838E+004
  1.095241972100E-004  7.427283015589E+000 -5.467922278464E+002  3.778978363208E+004
  1.325263106521E-004  7.414715629959E+000 -5.459237667315E+002  3.772165777331E+004
  1.577199109300E-004  7.400973808214E+000 -5.449743607002E+002  3.764719433854E+004
  1.851052188203E-004  7.386063624306E+000 -5.439444869450E+002  3.756643402977E+004
  2.146824743162E-004  7.369991658368E+000 -5.428346622723E+002  3.747942092794E+004
  2.464519366306E-004  7.352764991296E+000 -5.416454426398E+002  3.738620245341E+004
  2.804138842019E-004  7.334391198937E+000 -5.403774226582E+002  3.728682932353E+004
  3.165686146990E-004  7.314878345868E+000 -5.390312350603E+002  3.718135550724E+004
  3.549164450264E-004  7.294234978805E+000 -5.376075501358E+002  3.706983817691E+004
  3.954577113307E-004  7.272470119619E+000 -5.361070751351E+002  3.695233765736E+004
  4.381927690060E-004  7.249593257995E+000 -5.345305536405E+002  3.682891737219E+004
  4.831219927018E-004  7.225614343718E+000 -5.328787649065E+002  3.669964378743E+004
  5.302457763288E-004  7.200543778615E+000 -5.311525231709E+002  3.656458635260E+004
  5.795645330668E-004  7.174392408156E+000 -5.293526769355E+002  3.642381743929E+004
  6.310786953726E-004  7.147171512720E+000 -5.274801082194E+002  3.627741227725E+004
  6.847887149874E-004  7.118892798541E+000 -5.255357317842E+002  3.612544888813E+004
  7.406950629455E-004  7.089568388346E+000 -5.235204943332E+002  3.596800801692E+004
  7.987982295837E-004  7.059210811692E+000 -5.214353736847E+002  3.580517306118E+004
  8.590987245496E-004  7.027832995021E+000 -5.192813779211E+002  3.563702999813E+004
  9.215970768112E-004  6.995448251434E+000 -5.170595445139E+002  3.546366730972E+004
  9.862938346673E-004  6.962070270209E+000 -5.147709394272E+002  3.528517590568E+004
  1.053189565757E-003  6.927713106062E+000 -5.124166561988E+002  3.510164904478E+004
  1.122284857072E-003  6.892391168176E+000 -5.099978150019E+002  3.491318225423E+004
  1.193580314965E-003  6.856119209008E+000 -5.075155616869E+002  3.471987324748E+004
  1.267076565161E-003  6.818912312875E+000 -5.049710668058E+002  3.452182184033E+004
  1.342774252774E-003  6.780785884354E+000 -5.023655246193E+002  3.431912986562E+004
  1.420674042311E-003  6.741755636490E+000 -4.997001520885E+002  3.411190108648E+004
  1.500776617692E-003  6.701837578839E+000 -4.969761878520E+002  3.390024110831E+004
  1.583082682258E-003  6.661048005353E+000 -4.941948911895E+002  3.368425728952E+004
  1.667592958786E-003  6.619403482121E+000 -4.913575409739E+002  3.346405865120E+004
  1.754308189501E-003  6.576920834981E+000 -4.884654346116E+002  3.323975578578E+004
  1.843229136092E-003  6.533617137026E+000 -4.855198869743E+002  3.301146076479E+004
  1.934356579726E-003  6.489509696001E+000 -4.825222293211E+002  3.277928704587E+004
  2.027691321059E-003  6.444616041615E+000 -4.794738082149E+002  3.254334937899E+004
  2.123234180258E-003  6.398953912792E+000 -4.763759844314E+002  3.230376371218E+004
  2.220985997007E-003  6.352541244849E+000 -4.732301318643E+002  3.206064709677E+004
  2.320947630532E-003  6.305396156648E+000 -4.700376364271E+002  3.181411759218E+004
  2.423119959611E-003  6.257536937702E+000 -4.667998949520E+002  3.156429417049E+004
  2.527503882591E-003  6.208982035284E+000 -4.635183140884E+002  3.131129662086E+004
  2.634100317410E-003  6.159750041519E+000 -4.601943092015E+002  3.105524545383E+004
  2.742910201606E-003  6.109859680501E+000 -4.568293032722E+002  3.079626180566E+004
  2.853934492340E-003  6.059329795433E+000 -4.534247257996E+002  3.053446734285E+004
  2.967174166416E-003  6.008179335803E+000 -4.499820117077E+002  3.026998416688E+004
  3.082630220291E-003  5.956427344624E+000 -4.465026002567E+002  3.000293471925E+004
  3.200303670101E-003  5.904092945729E+000 -4.429879339609E+002  2.973344168699E+004
