# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1500
  1.095162808058E-006  2.370716795126E+006 -3.336048437318E+008  4.891062105980E+010  2.191915075107E-008  1.081634487412E-002
  4.380660827375E-006  2.369621001012E+006 -3.334441876998E+008  4.888644617571E+010  2.191872395323E-008  1.081801190027E-002
  9.856522843207E-006  2.367795839380E+006 -3.331766025232E+008  4.884618158750E+010  2.191801115132E-008  1.082079079261E-002
  1.752279683184E-005  2.365243051095E+006 -3.328023502136E+008  4.878986757565E+010  2.191702127399E-008  1.082468232448E-002
  2.737954996144E-005  2.361965069421E+006 -3.323217969805E+008  4.871756043818E+010  2.191573919675E-008  1.082968757888E-002
  3.942686859268E-005  2.357965016091E+006 -3.317354126266E+008  4.862933239622E+010  2.191416737426E-008  1.083580794892E-002
  5.366485828133E-005  2.353246696266E+006 -3.310437697728E+008  4.852527147298E+010  2.191229970477E-008  1.084304513820E-002
  7.009364377944E-005  2.347814592397E+006 -3.302475429137E+008  4.840548134644E+010  2.191014113835E-008  1.085140116145E-002
  8.871336903816E-005  2.341673857000E+006 -3.293475073082E+008  4.827008117611E+010  2.190768709851E-008  1.086087834519E-002
  1.095241972100E-004  2.334830304376E+006 -3.283445377047E+008  4.811920540410E+010  2.190492414283E-008  1.087147932850E-002
  1.325263106521E-004  2.327290401271E+006 -3.272396069065E+008  4.795300353126E+010  2.190185661595E-008  1.088320706394E-002
  1.577199109300E-004  2.319061256521E+006 -3.260337841793E+008  4.777163986862E+010  2.189846888363E-008  1.089606481848E-002
  1.851052188203E-004  2.310150609683E+006 -3.247282335046E+008  4.757529326489E+010  2.189476086073E-008  1.091005617468E-002
  2.146824743162E-004  2.300566818702E+006 -3.233242116836E+008  4.736415681061E+010  2.189072473944E-008  1.092518503180E-002
  2.464519366306E-004  2.290318846619E+006 -3.218230662956E+008  4.713843751956E+010  2.188635034790E-008  1.094145560717E-002
  2.804138842019E-004  2.279416247366E+006 -3.202262335151E+008  4.689835598831E+010  2.188163564428E-008  1.095887243754E-002
  3.165686146990E-004  2.267869150670E+006 -3.185352357932E+008  4.664414603457E+010  2.187658192675E-008  1.097744038061E-002
  3.549164450264E-004  2.255688246107E+006 -3.167516794092E+008  4.637605431518E+010  2.187115218668E-008  1.099716461664E-002
  3.954577113307E-004  2.242884766337E+006 -3.148772518958E+008  4.609433992475E+010  2.186536051828E-008  1.101805065013E-002
  4.381927690060E-004  2.229470469562E+006 -3.129137193466E+008  4.579927397564E+010  2.185918320675E-008  1.104010431166E-002
  4.831219927018E-004  2.215457621232E+006 -3.108629236089E+008  4.549113916045E+010  2.185262367156E-008  1.106333175973E-002
  5.302457763288E-004  2.200858975067E+006 -3.087267793710E+008  4.517022929787E+010  2.184565607461E-008  1.108773948286E-002
  5.795645330668E-004  2.185687753405E+006 -3.065072711480E+008  4.483684886295E+010  2.183826683039E-008  1.111333430161E-002
  6.310786953726E-004  2.169957626936E+006 -3.042064501751E+008  4.449131250289E+010  2.183047152735E-008  1.114012337079E-002
  6.847887149874E-004  2.153682693873E+006 -3.018264312128E+008  4.413394453935E+010  2.182221159184E-008  1.116811418179E-002
  7.406950629455E-004  2.136877458582E+006 -2.993693892731E+008  4.376507845840E+010  2.181350801961E-008  1.119731456493E-002
  7.987982295837E-004  2.119556809740E+006 -2.968375562727E+008  4.338505638933E+010  2.180433808922E-008  1.122773269194E-002
  8.590987245496E-004  2.101735998053E+006 -2.942332176210E+008  4.299422857329E+010  2.179466883712E-008  1.125937707855E-002
  9.215970768112E-004  2.083430613586E+006 -2.915587087495E+008  4.259295282303E+010  2.178450768012E-008  1.129225658714E-002
  9.862938346673E-004  2.064656562757E+006 -2.888164115909E+008  4.218159397494E+010  2.177381960307E-008  1.132638042947E-002
  1.053189565757E-003  2.045430045032E+006 -2.860087510151E+008  4.176052333442E+010  2.176260031871E-008  1.136175816956E-002
  1.122284857072E-003  2.025767529379E+006 -2.831381912287E+008  4.133011811588E+010  2.175081988392E-008  1.139839972656E-002
  1.193580314965E-003  2.005685730529E+006 -2.802072321472E+008  4.089076087851E+010  2.173845891995E-008  1.143631537776E-002
  1.267076565161E-003  1.985201585083E+006 -2.772184057460E+008  4.044283895901E+010  2.172550817867E-008  1.147551576170E-002
  1.342774252774E-003  1.964332227522E+006 -2.741742723979E+008  3.998674390238E+010  2.171193244140E-008  1.151601188129E-002
  1.420674042311E-003  1.943094966169E+006 -2.710774172051E+008  3.952287089209E+010  2.169772015421E-008  1.155781510704E-002
  1.500776617692E-003  1.921507259138E+006 -2.679304463325E+008  3.905161818060E+010  2.168284933871E-008  1.160093718039E-002
  1.583082682258E-003  1.899586690333E+006 -2.647359833499E+008  3.857338652150E+010  2.166728448816E-008  1.164539021704E-002
  1.667592958786E-003  1.877350945534E+006 -2.614966655896E+008  3.808857860435E+010  2.165100056393E-008  1.169118671040E-002
  1.754308189501E-003  1.854817788608E+006 -2.582151405277E+008  3.759759849332E+010  2.163398090616E-008  1.173833953506E-002
  1.843229136092E-003  1.832005037914E+006 -2.548940621948E+008  3.710085107071E+010  2.161620001967E-008  1.178686195035E-002
  1.934356579726E-003  1.808930542916E+006 -2.515360876226E+008  3.659874148640E+010  2.159761207661E-008  1.183676760390E-002
  2.027691321059E-003  1.785612161066E+006 -2.481438733352E+008  3.609167461429E+010  2.157819887089E-008  1.188807053532E-002
