# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1500
# Principal QN=   5 , l=   1 , Occupation=   1.9990
  1.095162808058E-006  5.959550668982E-004  5.441254664053E+002 -8.185982307826E+004
  4.380660827375E-006  2.383236461199E-003  5.438565800178E+002 -8.182092862071E+004
  9.856522843207E-006  5.360093670669E-003  5.434087172950E+002 -8.175614687165E+004
  1.752279683184E-005  9.523612196835E-003  5.427822996432E+002 -8.166554128136E+004
  2.737954996144E-005  1.486971808048E-002  5.419779160764E+002 -8.154920054041E+004
  3.942686859268E-005  2.139318422283E-002  5.409963222631E+002 -8.140723844016E+004
  5.366485828133E-005  2.908763848930E-002  5.398384393057E+002 -8.123979369390E+004
  7.009364377944E-005  3.794557357600E-002  5.385053522529E+002 -8.104702971900E+004
  8.871336903816E-005  4.795835861834E-002  5.369983083500E+002 -8.082913438054E+004
  1.095241972100E-004  5.911625251457E-002  5.353187150299E+002 -8.058631969688E+004
  1.325263106521E-004  7.140841893562E-002  5.334681376501E+002 -8.031882150779E+004
  1.577199109300E-004  8.482294298662E-002  5.314482969797E+002 -8.002689910597E+004
  1.851052188203E-004  9.934684948353E-002  5.292610664418E+002 -7.971083483238E+004
  2.146824743162E-004  1.149661228044E-001  5.269084691188E+002 -7.937093363662E+004
  2.464519366306E-004  1.316657282706E-001  5.243926745249E+002 -7.900752260290E+004
  2.804138842019E-004  1.494296350110E-001  5.217159951542E+002 -7.862095044281E+004
  3.165686146990E-004  1.682408402584E-001  5.188808828120E+002 -7.821158695572E+004
  3.549164450264E-004  1.880813950250E-001  5.158899247356E+002 -7.777982245815E+004
  3.954577113307E-004  2.089324311002E-001  5.127458395144E+002 -7.732606718297E+004
  4.381927690060E-004  2.307741893107E-001  5.094514728183E+002 -7.685075064994E+004
  4.831219927018E-004  2.535860489834E-001  5.060097929413E+002 -7.635432100859E+004
  5.302457763288E-004  2.773465585446E-001  5.024238861730E+002 -7.583724435497E+004
  5.795645330668E-004  3.020334671905E-001  4.986969520040E+002 -7.530000402351E+004
  6.310786953726E-004  3.276237575603E-001  4.948322981795E+002 -7.474309985545E+004
  6.847887149874E-004  3.540936793412E-001  4.908333356078E+002 -7.416704744534E+004
  7.406950629455E-004  3.814187837347E-001  4.867035731371E+002 -7.357237736695E+004
  7.987982295837E-004  4.095739587093E-001  4.824466122092E+002 -7.295963438038E+004
  8.590987245496E-004  4.385334649656E-001  4.780661414035E+002 -7.232937662160E+004
  9.215970768112E-004  4.682709725378E-001  4.735659308812E+002 -7.168217477635E+004
  9.862938346673E-004  4.987595979566E-001  4.689498267409E+002 -7.101861123976E+004
  1.053189565757E-003  5.299719418926E-001  4.642217452981E+002 -7.033927926340E+004
  1.122284857072E-003  5.618801272067E-001  4.593856673006E+002 -6.964478209149E+004
  1.193580314965E-003  5.944558373262E-001  4.544456320889E+002 -6.893573208781E+004
  1.267076565161E-003  6.276703548699E-001  4.494057317178E+002 -6.821274985504E+004
  1.342774252774E-003  6.614946004444E-001  4.442701050460E+002 -6.747646334823E+004
  1.420674042311E-003  6.958991715328E-001  4.390429318099E+002 -6.672750698399E+004
  1.500776617692E-003  7.308543814003E-001  4.337284266898E+002 -6.596652074720E+004
  1.583082682258E-003  7.663302979388E-001  4.283308333825E+002 -6.519414929676E+004
  1.667592958786E-003  8.022967823754E-001  4.228544186908E+002 -6.441104107219E+004
  1.754308189501E-003  8.387235277716E-001  4.173034666413E+002 -6.361784740255E+004
  1.843229136092E-003  8.755800972380E-001  4.116822726417E+002 -6.281522161952E+004
  1.934356579726E-003  9.128359617945E-001  4.059951376895E+002 -6.200381817599E+004
  2.027691321059E-003  9.504605378060E-001  4.002463626411E+002 -6.118429177197E+004
  2.123234180258E-003  9.884232239237E-001  3.944402425544E+002 -6.035729648922E+004
  2.220985997007E-003  1.026693437468E+000  3.885810611125E+002 -5.952348493620E+004
  2.320947630532E-003  1.065240650188E+000  3.826730851412E+002 -5.868350740477E+004
  2.423119959611E-003  1.104034423332E+000  3.767205592278E+002 -5.783801104013E+004
  2.527503882591E-003  1.143044441983E+000  3.707277004521E+002 -5.698763902534E+004
  2.634100317410E-003  1.182240548576E+000  3.646986932382E+002 -5.613302978191E+004
  2.742910201606E-003  1.221592775578E+000  3.586376843353E+002 -5.527481618761E+004
  2.853934492340E-003  1.261071377244E+000  3.525487779371E+002 -5.441362481289E+004
  2.967174166416E-003  1.300646860428E+000  3.464360309460E+002 -5.355007517706E+004
  3.082630220291E-003  1.340290014388E+000  3.403034483917E+002 -5.268477902547E+004
  3.200303670101E-003  1.379971939545E+000  3.341549790092E+002 -5.181833962865E+004
  3.320195551679E-003  1.419664075158E+000  3.279945109840E+002 -5.095135110461E+004
  3.442306920571E-003  1.459338225887E+000  3.218258678709E+002 -5.008439776522E+004
  3.566638852059E-003  1.498966587188E+000  3.156528046911E+002 -4.921805348756E+004
  3.693192441180E-003  1.538521769537E+000  3.094790042141E+002 -4.835288111121E+004
  3.821968802746E-003  1.577976821441E+000  3.033080734280E+002 -4.748943186211E+004
  3.952969071365E-003  1.617305251214E+000  2.971435402029E+002 -4.662824480394E+004
  4.086194401465E-003  1.656481047505E+000  2.909888501521E+002 -4.576984631749E+004
  4.221645967311E-003  1.695478698551E+000  2.848473636924E+002 -4.491474960874E+004
  4.359324963032E-003  1.734273210161E+000  2.787223533085E+002 -4.406345424611E+004
  4.499232602637E-003  1.772840122392E+000  2.726170010221E+002 -4.321644572745E+004
