# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1500
  1.095162808058E-006  1.356316440055E+007 -3.443383587405E+009  8.962452518519E+011  1.937045350753E-009  6.047651308296E-003
  4.380660827375E-006  1.355185600646E+007 -3.440440243185E+009  8.954736198327E+011  1.936786483857E-009  6.049333001945E-003
  9.856522843207E-006  1.353303004941E+007 -3.435540271148E+009  8.941890360362E+011  1.936357718785E-009  6.052136801611E-003
  1.752279683184E-005  1.350671851533E+007 -3.428692057074E+009  8.923937004523E+011  1.935780350229E-009  6.056064173337E-003
  2.737954996144E-005  1.347296605736E+007 -3.419907307696E+009  8.900906843583E+011  1.935044127260E-009  6.061117170930E-003
  3.942686859268E-005  1.343182986933E+007 -3.409201017500E+009  8.872839216511E+011  1.934109479501E-009  6.067298437298E-003
  5.366485828133E-005  1.338337952386E+007 -3.396591426255E+009  8.839781977607E+011  1.932983231965E-009  6.074611206174E-003
  7.009364377944E-005  1.332769677587E+007 -3.382099967461E+009  8.801791361882E+011  1.931725759416E-009  6.083059304224E-003
  8.871336903816E-005  1.326487533221E+007 -3.365751207893E+009  8.758931827208E+011  1.930219105557E-009  6.092647153530E-003
  1.095241972100E-004  1.319502058824E+007 -3.347572778491E+009  8.711275873844E+011  1.928596294379E-009  6.103379774455E-003
  1.325263106521E-004  1.311824933250E+007 -3.327595296862E+009  8.658903842039E+011  1.926716364107E-009  6.115262788891E-003
  1.577199109300E-004  1.303468942061E+007 -3.305852281701E+009  8.601903688489E+011  1.924634996592E-009  6.128302423870E-003
  1.851052188203E-004  1.294447941961E+007 -3.282380059447E+009  8.540370742511E+011  1.922355591177E-009  6.142505515560E-003
  2.146824743162E-004  1.284776822414E+007 -3.257217663554E+009  8.474407442855E+011  1.919841880520E-009  6.157879513630E-003
  2.464519366306E-004  1.274471464600E+007 -3.230406726751E+009  8.404123056175E+011  1.917090171199E-009  6.174432485981E-003
  2.804138842019E-004  1.263548697857E+007 -3.201991366709E+009  8.329633378210E+011  1.914092052610E-009  6.192173123843E-003
  3.165686146990E-004  1.252026253787E+007 -3.172018065545E+009  8.251060418809E+011  1.910810619661E-009  6.211110747234E-003
  3.549164450264E-004  1.239922718185E+007 -3.140535543631E+009  8.168532071991E+011  1.907300165836E-009  6.231255310776E-003
  3.954577113307E-004  1.227257480996E+007 -3.107594628167E+009  8.082181772255E+011  1.903476357103E-009  6.252617409861E-003
  4.381927690060E-004  1.214050684458E+007 -3.073248117025E+009  7.992148138429E+011  1.899359997082E-009  6.275208287171E-003
  4.831219927018E-004  1.200323169655E+007 -3.037550638360E+009  7.898574606371E+011  1.894936629510E-009  6.299039839525E-003
  5.302457763288E-004  1.186096421650E+007 -3.000558506508E+009  7.801609051849E+011  1.890161575594E-009  6.324124625071E-003
  5.795645330668E-004  1.171392513425E+007 -2.962329574704E+009  7.701403404992E+011  1.885060696510E-009  6.350475870794E-003
  6.310786953726E-004  1.156234048806E+007 -2.922923085141E+009  7.598113257679E+011  1.879529688469E-009  6.378107480348E-003
  6.847887149874E-004  1.140644104603E+007 -2.882399516925E+009  7.491897465282E+011  1.873632951465E-009  6.407034042181E-003
  7.406950629455E-004  1.124646172154E+007 -2.840820432450E+009  7.382917744156E+011  1.867335238017E-009  6.437270837964E-003
  7.987982295837E-004  1.108264098483E+007 -2.798248322747E+009  7.271338266284E+011  1.860540511387E-009  6.468833851294E-003
  8.590987245496E-004  1.091522027281E+007 -2.754746452334E+009  7.157325252495E+011  1.853332064874E-009  6.501739776666E-003
  9.215970768112E-004  1.074444339912E+007 -2.710378704106E+009  7.041046565606E+011  1.845593929649E-009  6.536006028687E-003
  9.862938346673E-004  1.057055596634E+007 -2.665209424783E+009  6.922671304892E+011  1.837330108134E-009  6.571650751529E-003
  1.053189565757E-003  1.039380478248E+007 -2.619303271440E+009  6.802369403206E+011  1.828504684244E-009  6.608692828586E-003
  1.122284857072E-003  1.021443728348E+007 -2.572725059611E+009  6.680311228076E+011  1.819098011926E-009  6.647151892323E-003
  1.193580314965E-003  1.003270096368E+007 -2.525539613466E+009  6.556667188049E+011  1.809028599223E-009  6.687048334278E-003
  1.267076565161E-003  9.848842816127E+006 -2.477811618528E+009  6.431607345529E+011  1.798332783110E-009  6.728403315212E-003
  1.342774252774E-003  9.663108784206E+006 -2.429605477382E+009  6.305301037299E+011  1.786916978971E-009  6.771238775348E-003
  1.420674042311E-003  9.475743226528E+006 -2.380985168830E+009  6.177916503868E+011  1.774744289882E-009  6.815577444688E-003
  1.500776617692E-003  9.286988396450E+006 -2.332014110878E+009  6.049620528748E+011  1.761763765497E-009  6.861442853354E-003
  1.583082682258E-003  9.097083937800E+006 -2.282755027974E+009  5.920578088669E+011  1.747962091539E-009  6.908859341923E-003
  1.667592958786E-003  8.906266398160E+006 -2.233269822846E+009  5.790952015730E+011  1.733233790887E-009  6.957852071702E-003
  1.754308189501E-003  8.714768761029E+006 -2.183619453298E+009  5.660902672377E+011  1.717552727862E-009  7.008447034891E-003
  1.843229136092E-003  8.522819998033E+006 -2.133863814269E+009  5.530587640042E+011  1.700881721631E-009  7.060671064588E-003
  1.934356579726E-003  8.330644642290E+006 -2.084061625445E+009  5.400161422235E+011  1.683137079641E-009  7.114551844558E-003
  2.027691321059E-003  8.138462383911E+006 -2.034270324699E+009  5.269775162764E+011  1.664251437326E-009  7.170117918717E-003
