# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1000
# Principal QN=   3 , l=   1 , Occupation=   5.0000
  2.462477732966E-006  3.720009567590E-004  1.510598067270E+002 -6.446684579015E+003
  9.849959442330E-006  1.487776620139E-003  1.510121891510E+002 -6.444738574219E+003
  2.216259066178E-005  3.346645582676E-003  1.509328574213E+002 -6.441496765468E+003
  3.940061395432E-005  5.947472875572E-003  1.508218578455E+002 -6.436961449544E+003
  6.156436892224E-005  9.288671032917E-003  1.506792551797E+002 -6.431135837785E+003
  8.865429222131E-005  1.336820157928E-002  1.505051325534E+002 -6.424024051941E+003
  1.206709175794E-004  1.818357693830E-002  1.502995913741E+002 -6.415631118848E+003
  1.576148758184E-004  2.373186275917E-002  1.500627512101E+002 -6.405962963951E+003
  1.994868948811E-004  3.000968065740E-002  1.497947496534E+002 -6.395026403666E+003
  2.462877998613E-004  3.701321136552E-002  1.494957421616E+002 -6.382829136611E+003
  2.980185130383E-004  4.473819828865E-002  1.491659018795E+002 -6.369379733709E+003
  3.546800539158E-004  5.317995145955E-002  1.488054194416E+002 -6.354687627194E+003
  4.162735392647E-004  6.233335188664E-002  1.484145027537E+002 -6.338763098522E+003
  4.828001831694E-004  7.219285628835E-002  1.479933767567E+002 -6.321617265225E+003
  5.542612970792E-004  8.275250220640E-002  1.475422831708E+002 -6.303262066724E+003
  6.306582898628E-004  9.400591348984E-002  1.470614802216E+002 -6.283710249126E+003
  7.119926678676E-004  1.059463061415E-001  1.465512423486E+002 -6.262975349026E+003
  7.982660349828E-004  1.185664945178E-001  1.460118598960E+002 -6.241071676360E+003
  8.894800927067E-004  1.318588978717E-001  1.454436387871E+002 -6.218014296319E+003
  9.856366402179E-004  1.458155472303E-001  1.448469001820E+002 -6.193819010366E+003
  1.086737574451E-003  1.604280925941E-001  1.442219801204E+002 -6.168502336392E+003
  1.192784890174E-003  1.756878104493E-001  1.435692291487E+002 -6.142081488034E+003
  1.303780680078E-003  1.915856115801E-001  1.428890119331E+002 -6.114574353206E+003
  1.419727134858E-003  2.081120491704E-001  1.421817068587E+002 -6.085999471863E+003
  1.540626543307E-003  2.252573271810E-001  1.414477056162E+002 -6.056376013056E+003
  1.666481292416E-003  2.430113089915E-001  1.406874127756E+002 -6.025723751301E+003
  1.797293867468E-003  2.613635262934E-001  1.399012453485E+002 -5.994063042309E+003
  1.933066852148E-003  2.803031882206E-001  1.390896323400E+002 -5.961414798120E+003
  2.073802928647E-003  2.998191907046E-001  1.382530142898E+002 -5.927800461681E+003
  2.219504877777E-003  3.199001260408E-001  1.373918428042E+002 -5.893241980913E+003
  2.370175579090E-003  3.405342926514E-001  1.365065800804E+002 -5.857761782311E+003
  2.525818010992E-003  3.617097050312E-001  1.355976984211E+002 -5.821382744116E+003
  2.686435250879E-003  3.834141038621E-001  1.346656797443E+002 -5.784128169113E+003
  2.852030475254E-003  4.056349662822E-001  1.337110150854E+002 -5.746021757092E+003
  3.022606959872E-003  4.283595162944E-001  1.327342040949E+002 -5.707087577025E+003
  3.198168079872E-003  4.515747353008E-001  1.317357545304E+002 -5.667350039001E+003
  3.378717309917E-003  4.752673727480E-001  1.307161817463E+002 -5.626833865962E+003
  3.564258224347E-003  4.994239568687E-001  1.296760081796E+002 -5.585564065294E+003
  3.754794497325E-003  5.240308055050E-001  1.286157628335E+002 -5.543565900313E+003
  3.950329902993E-003  5.490740370004E-001  1.275359807605E+002 -5.500864861694E+003
  4.150868315631E-003  5.745395811433E-001  1.264372025442E+002 -5.457486638887E+003
  4.356413709820E-003  6.004131901508E-001  1.253199737818E+002 -5.413457091572E+003
  4.566970160612E-003  6.266804496772E-001  1.241848445675E+002 -5.368802221187E+003
  4.782541843700E-003  6.533267898329E-001  1.230323689777E+002 -5.323548142582E+003
  5.003133035593E-003  6.803374962010E-001  1.218631045591E+002 -5.277721055843E+003
  5.228748113801E-003  7.076977208379E-001  1.206776118197E+002 -5.231347218322E+003
  5.459391557015E-003  7.353924932440E-001  1.194764537246E+002 -5.184452916922E+003
  5.695067945303E-003  7.634067312921E-001  1.182601951957E+002 -5.137064440682E+003
  5.935781960296E-003  7.917252521010E-001  1.170294026174E+002 -5.089208053688E+003
  6.181538385392E-003  8.203327828409E-001  1.157846433488E+002 -5.040909968369E+003
  6.432342105956E-003  8.492139714597E-001  1.145264852426E+002 -4.992196319200E+003
  6.688198109528E-003  8.783533973183E-001  1.132554961708E+002 -4.943093136863E+003
  6.949111486034E-003  9.077355817227E-001  1.119722435595E+002 -4.893626322889E+003
  7.215087428003E-003  9.373449983432E-001  1.106772939321E+002 -4.843821624835E+003
  7.486131230784E-003  9.671660835094E-001  1.093712124618E+002 -4.793704612005E+003
  7.762248292776E-003  9.971832463712E-001  1.080545625337E+002 -4.743300651772E+003
  8.043444115654E-003  1.027380878916E+000  1.067279053176E+002 -4.692634886512E+003
  8.329724304602E-003  1.057743365834E+000  1.053917993520E+002 -4.641732211197E+003
  8.621094568555E-003  1.088255094219E+000  1.040468001385E+002 -4.590617251662E+003
  8.917560720438E-003  1.118900463104E+000  1.026934597487E+002 -4.539314343577E+003
  9.219128677417E-003  1.149663892815E+000  1.013323264436E+002 -4.487847512147E+003
  9.525804461149E-003  1.180529834143E+000  9.996394430446E+001 -4.436240452576E+003
  9.837594198038E-003  1.211482777322E+000  9.858885287777E+001 -4.384516511290E+003
  1.015450411950E-002  1.242507260809E+000  9.720758683275E+001 -4.332698667969E+003
  1.047654056222E-002  1.273587879864E+000  9.582067563270E+001 -4.280809518383E+003
  1.080370996845E-002  1.304709294920E+000  9.442864322004E+001 -4.228871258060E+003
  1.113601888623E-002  1.335856239731E+000  9.303200771547E+001 -4.176905666801E+003
  1.147347396972E-002  1.367013529319E+000  9.163128113126E+001 -4.124934094047E+003
  1.181608197948E-002  1.398166067683E+000  9.022696909903E+001 -4.072977445117E+003
  1.216384978272E-002  1.429298855291E+000  8.881957061201E+001 -4.021056168326E+003
  1.251678435364E-002  1.460396996349E+000  8.740957778194E+001 -3.969190242977E+003
  1.287489277369E-002  1.491445705829E+000  8.599747561068E+001 -3.917399168261E+003
  1.323818223191E-002  1.522430316276E+000  8.458374177655E+001 -3.865701953036E+003
  1.360666002522E-002  1.553336284377E+000  8.316884643549E+001 -3.814117106510E+003
  1.398033355872E-002  1.584149197301E+000  8.175325203686E+001 -3.762662629823E+003
  1.435921034603E-002  1.614854778800E+000  8.033741315403E+001 -3.711356008520E+003
  1.474329800963E-002  1.645438895083E+000  7.892177632953E+001 -3.660214205925E+003
  1.513260428113E-002  1.675887560456E+000  7.750677993472E+001 -3.609253657393E+003
