# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
1000
# Principal QN=   3 , l=   1 , Occupation=   4.9990
  2.462477732966E-006  3.588619755435E-004  1.457244008333E+002 -6.228014216015E+003
  9.849959442330E-006  1.435228391893E-003  1.456783984638E+002 -6.226126924545E+003
  2.216259066178E-005  3.228440925085E-003  1.456017578164E+002 -6.222982933509E+003
  3.940061395432E-005  5.737403057670E-003  1.454945238074E+002 -6.218584482986E+003
  6.156436892224E-005  8.960581111244E-003  1.453567592463E+002 -6.212934705015E+003
  8.865429222131E-005  1.289600568971E-002  1.451885447633E+002 -6.206037619523E+003
  1.206709175794E-004  1.754127353102E-002  1.449899787159E+002 -6.197898129110E+003
  1.576148758184E-004  2.289354976421E-002  1.447611770745E+002 -6.188522012696E+003
  1.994868948811E-004  2.894957056848E-002  1.445022732889E+002 -6.177915918029E+003
  2.462877998613E-004  3.570564622973E-002  1.442134181337E+002 -6.166087353093E+003
  2.980185130383E-004  4.315766458990E-002  1.438947795349E+002 -6.153044676399E+003
  3.546800539158E-004  5.130109488373E-002  1.435465423764E+002 -6.138797086209E+003
  4.162735392647E-004  6.013099195653E-002  1.431689082876E+002 -6.123354608680E+003
  4.828001831694E-004  6.964200085664E-002  1.427620954127E+002 -6.106728084985E+003
  5.542612970792E-004  7.982836179519E-002  1.423263381616E+002 -6.088929157393E+003
  6.306582898628E-004  9.068391546526E-002  1.418618869420E+002 -6.069970254370E+003
  7.119926678676E-004  1.022021087124E-001  1.413690078758E+002 -6.049864574706E+003
  7.982660349828E-004  1.143760005474E-001  1.408479824974E+002 -6.028626070699E+003
  8.894800927067E-004  1.271982684918E-001  1.402991074359E+002 -6.006269430429E+003
  9.856366402179E-004  1.406612152471E-001  1.397226940816E+002 -5.982810059155E+003
  1.086737574451E-003  1.547567756760E-001  1.391190682377E+002 -5.958264059862E+003
  1.192784890174E-003  1.694765240865E-001  1.384885697562E+002 -5.932648212996E+003
  1.303780680078E-003  1.848116818063E-001  1.378315521616E+002 -5.905979955417E+003
  1.419727134858E-003  2.007531250369E-001  1.371483822595E+002 -5.878277358620E+003
  1.540626543307E-003  2.172913929755E-001  1.364394397337E+002 -5.849559106243E+003
  1.666481292416E-003  2.344166961912E-001  1.357051167306E+002 -5.819844470915E+003
  1.797293867468E-003  2.521189252450E-001  1.349458174334E+002 -5.789153290481E+003
  1.933066852148E-003  2.703876595386E-001  1.341619576240E+002 -5.757505943639E+003
  2.073802928647E-003  2.892121763812E-001  1.333539642373E+002 -5.724923325038E+003
  2.219504877777E-003  3.085814602582E-001  1.325222749044E+002 -5.691426819879E+003
  2.370175579090E-003  3.284842122912E-001  1.316673374889E+002 -5.657038278051E+003
  2.525818010992E-003  3.489088598734E-001  1.307896096149E+002 -5.621779987866E+003
  2.686435250879E-003  3.698435664676E-001  1.298895581889E+002 -5.585674649417E+003
  2.852030475254E-003  3.912762415525E-001  1.289676589152E+002 -5.548745347616E+003
  3.022606959872E-003  4.131945507039E-001  1.280243958062E+002 -5.511015524954E+003
  3.198168079872E-003  4.355859257953E-001  1.270602606889E+002 -5.472508954026E+003
  3.378717309917E-003  4.584375753054E-001  1.260757527070E+002 -5.433249709867E+003
  3.564258224347E-003  4.817364947171E-001  1.250713778208E+002 -5.393262142149E+003
  3.754794497325E-003  5.054694769953E-001  1.240476483049E+002 -5.352570847280E+003
  3.950329902993E-003  5.296231231275E-001  1.230050822450E+002 -5.311200640444E+003
  4.150868315631E-003  5.541838527154E-001  1.219442030336E+002 -5.269176527644E+003
  4.356413709820E-003  5.791379146020E-001  1.208655388666E+002 -5.226523677775E+003
  4.566970160612E-003  6.044713975212E-001  1.197696222412E+002 -5.183267394781E+003
  4.782541843700E-003  6.301702407571E-001  1.186569894553E+002 -5.139433089942E+003
  5.003133035593E-003  6.562202447980E-001  1.175281801094E+002 -5.095046254316E+003
  5.228748113801E-003  6.826070819733E-001  1.163837366124E+002 -5.050132431409E+003
  5.459391557015E-003  7.093163070603E-001  1.152242036911E+002 -5.004717190086E+003
  5.695067945303E-003  7.363333678474E-001  1.140501279045E+002 -4.958826097779E+003
  5.935781960296E-003  7.636436156431E-001  1.128620571639E+002 -4.912484694030E+003
  6.181538385392E-003  7.912323157163E-001  1.116605402589E+002 -4.865718464406E+003
  6.432342105956E-003  8.190846576593E-001  1.104461263900E+002 -4.818552814819E+003
  6.688198109528E-003  8.471857656592E-001  1.092193647091E+002 -4.771013046308E+003
  6.949111486034E-003  8.755207086687E-001  1.079808038678E+002 -4.723124330284E+003
  7.215087428003E-003  9.040745104653E-001  1.067309915739E+002 -4.674911684313E+003
  7.486131230784E-003  9.328321595883E-001  1.054704741582E+002 -4.626399948435E+003
  7.762248292776E-003  9.617786191441E-001  1.041997961496E+002 -4.577613762073E+003
  8.043444115654E-003  9.908988364708E-001  1.029194998615E+002 -4.528577541552E+003
  8.329724304602E-003  1.020177752653E+000  1.016301249886E+002 -4.479315458265E+003
  8.621094568555E-003  1.049600311877E+000  1.003322082142E+002 -4.429851417498E+003
  8.917560720438E-003  1.079151470623E+000  9.902628283046E+001 -4.380209037965E+003
  9.219128677417E-003  1.108816206680E+000  9.771287836915E+001 -4.330411632047E+003
  9.525804461149E-003  1.138579527982E+000  9.639252024585E+001 -4.280482186788E+003
  9.837594198038E-003  1.168426481260E+000  9.506572941625E+001 -4.230443345642E+003
  1.015450411950E-002  1.198342160490E+000  9.373302204568E+001 -4.180317391011E+003
