# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
1000
  2.462477732966E-006 -1.421332649284E+007  1.805239692485E+002 -1.454758407653E+004 -1.454758407653E+004
  9.849959442330E-006 -3.553314123263E+006  1.805239623808E+002 -3.661483167041E+003 -3.661483167041E+003
  2.216259066178E-005 -1.579237758533E+006  1.805239327422E+002 -1.645529134034E+003 -1.645529134034E+003
  3.940061395432E-005 -8.883110309037E+005  1.805238529992E+002 -9.399341004121E+002 -9.399341004121E+002
  6.156436892224E-005 -5.685106598625E+005  1.805236850503E+002 -6.133322050617E+002 -6.133322050617E+002
  8.865429222131E-005 -3.947919398265E+005  1.805233800779E+002 -4.359059038967E+002 -4.359059038967E+002
  1.206709175794E-004 -2.900450307505E+005  1.805228786967E+002 -3.289099870051E+002 -3.289099870051E+002
  1.576148758184E-004 -2.220602580706E+005  1.805221111154E+002 -2.594516738479E+002 -2.594516738479E+002
  1.994868948811E-004 -1.754501217780E+005  1.805209973351E+002 -2.118171320803E+002 -2.118171320803E+002
  2.462877998613E-004 -1.421101655044E+005  1.805194473750E+002 -1.777300365905E+002 -1.777300365905E+002
  2.980185130383E-004 -1.174423684058E+005  1.805173615178E+002 -1.524948654258E+002 -1.524948654258E+002
  3.546800539158E-004 -9.868048573239E+004  1.805146305901E+002 -1.332867234467E+002 -1.332867234467E+002
  4.162735392647E-004 -8.407932933191E+004  1.805111362656E+002 -1.183234287261E+002 -1.183234287261E+002
  4.828001831694E-004 -7.249375874350E+004  1.805067513940E+002 -1.064355746902E+002 -1.064355746902E+002
  5.542612970792E-004 -6.314711163208E+004  1.805013403523E+002 -9.683004931088E+001 -9.683004931088E+001
  6.306582898628E-004 -5.549756589676E+004  1.804947594215E+002 -8.895356294840E+001 -8.895356294840E+001
  7.119926678676E-004 -4.915780959490E+004  1.804868571823E+002 -8.241061458403E+001 -8.241061458403E+001
  7.982660349828E-004 -4.384503218999E+004  1.804774749340E+002 -7.691242244351E+001 -7.691242244351E+001
  8.894800927067E-004 -3.934882892488E+004  1.804664471292E+002 -7.224414765403E+001 -7.224414765403E+001
  9.856366402179E-004 -3.551004353111E+004  1.804536018295E+002 -6.824328822145E+001 -6.824328822145E+001
  1.086737574451E-003 -3.220648740124E+004  1.804387611757E+002 -6.478509530844E+001 -6.478509530844E+001
  1.192784890174E-003 -2.934309470912E+004  1.804217418726E+002 -6.177251953931E+001 -6.177251953931E+001
  1.303780680078E-003 -2.684500586241E+004  1.804023556896E+002 -5.912914774140E+001 -5.912914774140E+001
  1.419727134858E-003 -2.465262453655E+004  1.803804099700E+002 -5.679415512364E+001 -5.679415512364E+001
  1.540626543307E-003 -2.271802998075E+004  1.803557081530E+002 -5.471864146948E+001 -5.471864146948E+001
  1.666481292416E-003 -2.100233597537E+004  1.803280503037E+002 -5.286293405737E+001 -5.286293405737E+001
  1.797293867468E-003 -1.947372137273E+004  1.802972336510E+002 -5.119457640709E+001 -5.119457640709E+001
  1.933066852148E-003 -1.810594391038E+004  1.802630531293E+002 -4.968681054721E+001 -4.968681054721E+001
  2.073802928647E-003 -1.687720637121E+004  1.802253019263E+002 -4.831741910144E+001 -4.831741910144E+001
  2.219504877777E-003 -1.576928275781E+004  1.801837720325E+002 -4.706783290288E+001 -4.706783290288E+001
  2.370175579090E-003 -1.476683850293E+004  1.801382547910E+002 -4.592243675903E+001 -4.592243675903E+001
  2.525818010992E-003 -1.385689699245E+004  1.800885414472E+002 -4.486802463164E+001 -4.486802463164E+001
  2.686435250879E-003 -1.302841748691E+004  1.800344236956E+002 -4.389336857708E+001 -4.389336857708E+001
