# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1500
  1.095162808058E-006  2.370716785623E+006 -3.336048409001E+008  4.891062041830E+010  2.200882530894E-008  1.081634488857E-002
  4.380660827375E-006  2.369620991518E+006 -3.334441848702E+008  4.888644553460E+010  2.200833572946E-008  1.081801191472E-002
  9.856522843207E-006  2.367795829902E+006 -3.331765996971E+008  4.884618094704E+010  2.200751402127E-008  1.082079080705E-002
  1.752279683184E-005  2.365243041639E+006 -3.328023473924E+008  4.878986693610E+010  2.200635574742E-008  1.082468233890E-002
  2.737954996144E-005  2.361965059992E+006 -3.323217941656E+008  4.871755979981E+010  2.200487038115E-008  1.082968759329E-002
  3.942686859268E-005  2.357965006696E+006 -3.317354098194E+008  4.862933175927E+010  2.200305232320E-008  1.083580796331E-002
  5.366485828133E-005  2.353246686912E+006 -3.310437669746E+008  4.852527083771E+010  2.200088815495E-008  1.084304515256E-002
  7.009364377944E-005  2.347814583088E+006 -3.302475401260E+008  4.840548071311E+010  2.199838961971E-008  1.085140117579E-002
  8.871336903816E-005  2.341673847743E+006 -3.293475045322E+008  4.827008054496E+010  2.199553870674E-008  1.086087835950E-002
  1.095241972100E-004  2.334830295177E+006 -3.283445349418E+008  4.811920477539E+010  2.199235096154E-008  1.087147934278E-002
  1.325263106521E-004  2.327290392135E+006 -3.272396041581E+008  4.795300290524E+010  2.198879944268E-008  1.088320707818E-002
  1.577199109300E-004  2.319061247454E+006 -3.260337814466E+008  4.777163924553E+010  2.198489986720E-008  1.089606483268E-002
  1.851052188203E-004  2.310150600691E+006 -3.247282307889E+008  4.757529264497E+010  2.198061714159E-008  1.091005618884E-002
  2.146824743162E-004  2.300566809790E+006 -3.233242089862E+008  4.736415619410E+010  2.197597307868E-008  1.092518504591E-002
  2.464519366306E-004  2.290318837792E+006 -3.218230636178E+008  4.713843690669E+010  2.197095093595E-008  1.094145562123E-002
  2.804138842019E-004  2.279416238630E+006 -3.202262308579E+008  4.689835537931E+010  2.196554864673E-008  1.095887245154E-002
  3.165686146990E-004  2.267869142029E+006 -3.185352331580E+008  4.664414542967E+010  2.195973845349E-008  1.097744039455E-002
  3.549164450264E-004  2.255688237567E+006 -3.167516767971E+008  4.637605371460E+010  2.195353461545E-008  1.099716463052E-002
  3.954577113307E-004  2.242884757903E+006 -3.148772493080E+008  4.609433932870E+010  2.194692226178E-008  1.101805066395E-002
  4.381927690060E-004  2.229470461237E+006 -3.129137167842E+008  4.579927338434E+010  2.193989080031E-008  1.104010432540E-002
  4.831219927018E-004  2.215457613022E+006 -3.108629210729E+008  4.549113857411E+010  2.193242003476E-008  1.106333177340E-002
  5.302457763288E-004  2.200858966976E+006 -3.087267768625E+008  4.517022871668E+010  2.192450616836E-008  1.108773949645E-002
  5.795645330668E-004  2.185687745436E+006 -3.065072686681E+008  4.483684828712E+010  2.191613836870E-008  1.111333431512E-002
  6.310786953726E-004  2.169957619095E+006 -3.042064477247E+008  4.449131193260E+010  2.190730324927E-008  1.114012338421E-002
  6.847887149874E-004  2.153682686162E+006 -3.018264287928E+008  4.413394397479E+010  2.189798585914E-008  1.116811419512E-002
  7.406950629455E-004  2.136877451006E+006 -2.993693868845E+008  4.376507789975E+010  2.188817180706E-008  1.119731457816E-002
  7.987982295837E-004  2.119556802302E+006 -2.968375539164E+008  4.338505583677E+010  2.187785564318E-008  1.122773270507E-002
  8.590987245496E-004  2.101735990756E+006 -2.942332152979E+008  4.299422802697E+010  2.186701810416E-008  1.125937709158E-002
  9.215970768112E-004  2.083430606433E+006 -2.915587064603E+008  4.259295228313E+010  2.185563829320E-008  1.129225660006E-002
  9.862938346673E-004  2.064656555751E+006 -2.888164093364E+008  4.218159344161E+010  2.184370659526E-008  1.132638044228E-002
  1.053189565757E-003  2.045430038175E+006 -2.860087487960E+008  4.176052280780E+010  2.183119876603E-008  1.136175818226E-002
  1.122284857072E-003  2.025767522675E+006 -2.831381890458E+008  4.133011759612E+010  2.181809096552E-008  1.139839973913E-002
  1.193580314965E-003  2.005685723979E+006 -2.802072300011E+008  4.089076036574E+010  2.180438656498E-008  1.143631539021E-002
  1.267076565161E-003  1.985201578689E+006 -2.772184036374E+008  4.044283845336E+010  2.179004481250E-008  1.147551577402E-002
  1.342774252774E-003  1.964332221286E+006 -2.741742703273E+008  3.998674340398E+010  2.177505651709E-008  1.151601189347E-002
  1.420674042311E-003  1.943094960093E+006 -2.710774151730E+008  3.952287040105E+010  2.175939713685E-008  1.155781511909E-002
  1.500776617692E-003  1.921507253223E+006 -2.679304443395E+008  3.905161769702E+010  2.174303708106E-008  1.160093719229E-002
  1.583082682258E-003  1.899586684581E+006 -2.647359813963E+008  3.857338604549E+010  2.172595697576E-008  1.164539022880E-002
  1.667592958786E-003  1.877350939945E+006 -2.614966636759E+008  3.808857813600E+010  2.170814459540E-008  1.169118672200E-002
  1.754308189501E-003  1.854817783184E+006 -2.582151386543E+008  3.759759803271E+010  2.168955212025E-008  1.173833954650E-002
  1.843229136092E-003  1.832005032654E+006 -2.548940603620E+008  3.710085061792E+010  2.167017374959E-008  1.178686196163E-002
  1.934356579726E-003  1.808930537821E+006 -2.515360858307E+008  3.659874104150E+010  2.164998051437E-008  1.183676761501E-002
  2.027691321059E-003  1.785612156136E+006 -2.481438715845E+008  3.609167417736E+010  2.162891820343E-008  1.188807054626E-002
