# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
1500
  1.095162808058E-006 -7.487471214023E+007  6.478911074698E+002 -3.481168607820E+004 -3.481168717292E+004
  4.380660827375E-006 -1.871863703476E+007  6.478910684439E+002 -8.779227274486E+003 -8.779227544259E+003
  9.856522843207E-006 -8.319363867402E+006  6.478908909533E+002 -3.958359346146E+003 -3.958359463153E+003
  1.752279683184E-005 -4.679618258827E+006  6.478904189341E+002 -2.271005729169E+003 -2.271005792709E+003
  2.737954996144E-005 -2.994936005723E+006  6.478894224548E+002 -1.489947425639E+003 -1.489947464436E+003
  3.942686859268E-005 -2.079799967051E+006  6.478876142662E+002 -1.065610955778E+003 -1.065610981137E+003
  5.366485828133E-005 -1.528001799057E+006  6.478846438970E+002 -8.096892299811E+002 -8.096892472422E+002
  7.009364377944E-005 -1.169863565062E+006  6.478801006509E+002 -6.435242379202E+002 -6.435242499286E+002
  8.871336903816E-005 -9.243251709303E+005  6.478735152658E+002 -5.295388033125E+002 -5.295388117235E+002
  1.095241972100E-004 -7.486930019931E+005  6.478643617727E+002 -4.479414175894E+002 -4.479414234311E+002
  1.325263106521E-004 -6.187450597281E+005  6.478520597138E+002 -3.875035218514E+002 -3.875035257959E+002
  1.577199109300E-004 -5.199089925711E+005  6.478359765355E+002 -3.414698816110E+002 -3.414698841166E+002
  1.851052188203E-004 -4.429912917776E+005  6.478154300096E+002 -3.055787579596E+002 -3.055787593493E+002
  2.146824743162E-004 -3.819594508643E+005  6.477896912514E+002 -2.770337768470E+002 -2.770337773553E+002
  2.464519366306E-004 -3.327220760408E+005  6.477579874480E+002 -2.539384213114E+002 -2.539384211128E+002
  2.804138842019E-004 -2.924248927024E+005  6.477195051208E+002 -2.349696790938E+002 -2.349696783205E+002
  3.165686146990E-004 -2.590275731470E+005  6.476733934827E+002 -2.191818713314E+002 -2.191818700859E+002
  3.549164450264E-004 -2.310402945513E+005  6.476187676083E+002 -2.058845278504E+002 -2.058845262133E+002
  3.954577113307E-004 -2.073546618274E+005  6.475547122278E+002 -1.945640074448E+002 -1.945640054802E+002
  4.381927690060E-004 -1.871322527435E+005  6.474802852487E+002 -1.848318302622E+002 -1.848318280221E+002
  4.831219927018E-004 -1.697293876882E+005  6.473945216312E+002 -1.763898029431E+002 -1.763898004700E+002
  5.302457763288E-004 -1.546452676488E+005  6.472964371214E+002 -1.690059766214E+002 -1.690059739503E+002
  5.795645330668E-004 -1.414855384026E+005  6.471850320205E+002 -1.624977560906E+002 -1.624977532509E+002
  6.310786953726E-004 -1.299362513760E+005  6.470592953896E+002 -1.567198285765E+002 -1.567198255929E+002
  6.847887149874E-004 -1.197449639653E+005  6.469182088175E+002 -1.515554021628E+002 -1.515553990561E+002
  7.406950629455E-004 -1.107068267391E+005  6.467607504031E+002 -1.469097559943E+002 -1.469097527825E+002
  7.987982295837E-004 -1.026542084886E+005  6.465858987402E+002 -1.427054305229E+002 -1.427054272214E+002
  8.590987245496E-004 -9.544886711710E+004  6.463926367795E+002 -1.388785979315E+002 -1.388785945538E+002
  9.215970768112E-004 -8.897597666404E+004  6.461799558124E+002 -1.353762930047E+002 -1.353762895624E+002
  9.862938346673E-004 -8.313952406248E+004  6.459468591826E+002 -1.321542789667E+002 -1.321542754701E+002
  1.053189565757E-003 -7.785872806386E+004  6.456923661252E+002 -1.291753871629E+002 -1.291753836213E+002
  1.122284857072E-003 -7.306522892407E+004  6.454155153905E+002 -1.264082140423E+002 -1.264082104635E+002
  1.193580314965E-003 -6.870086492876E+004  6.451153687722E+002 -1.238260901776E+002 -1.238260865689E+002
  1.267076565161E-003 -6.471589977641E+004  6.447910146057E+002 -1.214062582882E+002 -1.214062546561E+002
  1.342774252774E-003 -6.106759928605E+004  6.444415710557E+002 -1.191292131976E+002 -1.191292095479E+002
  1.420674042311E-003 -5.771908091360E+004  6.440661892790E+002 -1.169781682545E+002 -1.169781645923E+002
  1.500776617692E-003 -5.463837791270E+004  6.436640564495E+002 -1.149386212552E+002 -1.149386175854E+002
  1.583082682258E-003 -5.179767356374E+004  6.432343986104E+002 -1.129979992040E+002 -1.129979955310E+002
  1.667592958786E-003 -4.917267104541E+004  6.427764833414E+002 -1.111453659519E+002 -1.111453622796E+002
  1.754308189501E-003 -4.674207216883E+004  6.422896222951E+002 -1.093711803005E+002 -1.093711766327E+002
  1.843229136092E-003 -4.448714399874E+004  6.417731734273E+002 -1.076670948480E+002 -1.076670911879E+002
  1.934356579726E-003 -4.239135682607E+004  6.412265432184E+002 -1.060257879114E+002 -1.060257842622E+002
  2.027691321059E-003 -4.044008037533E+004  6.406491884747E+002 -1.044408224468E+002 -1.044408188114E+002
  2.123234180258E-003 -3.862032778224E+004  6.400406180999E+002 -1.029065271143E+002 -1.029065234953E+002
  2.220985997007E-003 -3.692053894554E+004  6.394003945667E+002 -1.014178955988E+002 -1.014178919987E+002
  2.320947630532E-003 -3.533039648172E+004  6.387281351892E+002 -9.997050104657E+001 -9.997049746781E+001
  2.423119959611E-003 -3.384066879346E+004  6.380235132028E+002 -9.856042307382E+001 -9.856041951852E+001
  2.527503882591E-003 -3.244307578112E+004  6.372862586049E+002 -9.718418527522E+001 -9.718418174543E+001
  2.634100317410E-003 -3.113017353896E+004  6.365161588075E+002 -9.583870153747E+001 -9.583869803512E+001
  2.742910201606E-003 -2.989525502949E+004  6.357130590280E+002 -9.452122976421E+001 -9.452122629109E+001
  2.853934492340E-003 -2.873226425486E+004  6.348768625376E+002 -9.322933186277E+001 -9.322932842060E+001
