# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
1000
  2.462477732966E-006  4.515806015171E+005 -3.545840521103E+007  2.877842458408E+009  7.917977487821E-007  1.879873643670E-002
  9.849959442330E-006  4.513187317100E+005 -3.543715173431E+007  2.876074300882E+009  7.917864232260E-007  1.880237161314E-002
  2.216259066178E-005  4.508826250625E+005 -3.540175782247E+007  2.873129810946E+009  7.917674944097E-007  1.880843172466E-002
  3.940061395432E-005  4.502727954071E+005 -3.535226623850E+007  2.869012642164E+009  7.917408793364E-007  1.881691899824E-002
  6.156436892224E-005  4.494899606832E+005 -3.528873672865E+007  2.863727898849E+009  7.917064713165E-007  1.882783655335E-002
  8.865429222131E-005  4.485350415164E+005 -3.521124590094E+007  2.857282125418E+009  7.916641192469E-007  1.884118840357E-002
  1.206709175794E-004  4.474091593978E+005 -3.511988706950E+007  2.849683292772E+009  7.916136461686E-007  1.885697945876E-002
  1.576148758184E-004  4.461136344700E+005 -3.501477006532E+007  2.840940781717E+009  7.915548426201E-007  1.887521552763E-002
  1.994868948811E-004  4.446499829245E+005 -3.489602101378E+007  2.831065363492E+009  7.914874654396E-007  1.889590332090E-002
  2.462877998613E-004  4.430199140189E+005 -3.476378207978E+007  2.820069177461E+009  7.914112348021E-007  1.891905045481E-002
  2.980185130383E-004  4.412253267215E+005 -3.461821118102E+007  2.807965706018E+009  7.913258403739E-007  1.894466545519E-002
  3.546800539158E-004  4.392683059934E+005 -3.445948167040E+007  2.794769746796E+009  7.912309377530E-007  1.897275776199E-002
  4.162735392647E-004  4.371511187171E+005 -3.428778198835E+007  2.780497382251E+009  7.911261424279E-007  1.900333773430E-002
  4.828001831694E-004  4.348762092842E+005 -3.410331528608E+007  2.765165946713E+009  7.910110395270E-007  1.903641665580E-002
  5.542612970792E-004  4.324461948540E+005 -3.390629902088E+007  2.748793990990E+009  7.908851804439E-007  1.907200674076E-002
  6.306582898628E-004  4.298638602947E+005 -3.369696452454E+007  2.731401244644E+009  7.907480713308E-007  1.911012114048E-002
  7.119926678676E-004  4.271321528240E+005 -3.347555654612E+007  2.713008576029E+009  7.905991912804E-007  1.915077395022E-002
  7.982660349828E-004  4.242541763597E+005 -3.324233277033E+007  2.693637950215E+009  7.904379707790E-007  1.919398021662E-002
  8.894800927067E-004  4.212331855996E+005 -3.299756331296E+007  2.673312384912E+009  7.902638115319E-007  1.923975594561E-002
  9.856366402179E-004  4.180725798437E+005 -3.274153019457E+007  2.652055904524E+009  7.900760676033E-007  1.928811811078E-002
  1.086737574451E-003  4.147758965770E+005 -3.247452679405E+007  2.629893492460E+009  7.898740587435E-007  1.933908466224E-002
  1.192784890174E-003  4.113468048289E+005 -3.219685728349E+007  2.606851041828E+009  7.896570610315E-007  1.939267453602E-002
  1.303780680078E-003  4.077890983277E+005 -3.190883604587E+007  2.582955304659E+009  7.894243064180E-007  1.944890766386E-002
  1.419727134858E-003  4.041066884680E+005 -3.161078707718E+007  2.558233839798E+009  7.891749876227E-007  1.950780498356E-002
  1.540626543307E-003  4.003035971089E+005 -3.130304337454E+007  2.532714959599E+009  7.889082492331E-007  1.956938844978E-002
  1.666481292416E-003  3.963839492222E+005 -3.098594631199E+007  2.506427675573E+009  7.886231888762E-007  1.963368104533E-002
  1.797293867468E-003  3.923519654094E+005 -3.065984500555E+007  2.479401643139E+009  7.883188639189E-007  1.970070679295E-002
  1.933066852148E-003  3.882119543069E+005 -3.032509566927E+007  2.451667105619E+009  7.879942786063E-007  1.977049076753E-002
  2.073802928647E-003  3.839683048981E+005 -2.998206096389E+007  2.423254837629E+009  7.876483916780E-007  1.984305910888E-002
  2.219504877777E-003  3.796254787519E+005 -2.963110933977E+007  2.394196088010E+009  7.872801075199E-007  1.991843903488E-002
  2.370175579090E-003  3.751880022073E+005 -2.927261437589E+007  2.364522522456E+009  7.868882796839E-007  1.999665885517E-002
  2.525818010992E-003  3.706604585224E+005 -2.890695411633E+007  2.334266165976E+009  7.864717126877E-007  2.007774798529E-002
  2.686435250879E-003  3.660474800082E+005 -2.853451040621E+007  2.303459345343E+009  7.860291462760E-007  2.016173696122E-002
  2.852030475254E-003  3.613537401641E+005 -2.815566822843E+007  2.272134631672E+009  7.855592787627E-007  2.024865745445E-002
  3.022606959872E-003  3.565839458362E+005 -2.777081504296E+007  2.240324783265E+009  7.850607363848E-007  2.033854228745E-002
  3.198168079872E-003  3.517428294146E+005 -2.738034013025E+007  2.208062688866E+009  7.845320945021E-007  2.043142544958E-002
  3.378717309917E-003  3.468351410883E+005 -2.698463394026E+007  2.175381311468E+009  7.839718648325E-007  2.052734211338E-002
  3.564258224347E-003  3.418656411763E+005 -2.658408744868E+007  2.142313632789E+009  7.833784935160E-007  2.062632865136E-002
  3.754794497325E-003  3.368390925501E+005 -2.617909152172E+007  2.108892598563E+009  7.827503695127E-007  2.072842265309E-002
  3.950329902993E-003  3.317602531655E+005 -2.577003629097E+007  2.075151064751E+009  7.820858044112E-007  2.083366294270E-002
  4.150868315631E-003  3.266338687197E+005 -2.535731053963E+007  2.041121744817E+009  7.813830518843E-007  2.094208959676E-002
  4.356413709820E-003  3.214646654478E+005 -2.494130110148E+007  2.006837158157E+009  7.806402905054E-007  2.105374396247E-002
  4.566970160612E-003  3.162573430753E+005 -2.452239227379E+007  1.972329579806E+009  7.798556266602E-007  2.116866867615E-002
